time_TR,price,15m_pos,15m_neg,15m_net,1h_pos,1h_neg,1h_net,4h_pos,4h_neg,4h_net,15m_votes,1h_votes,4h_votes,15m_hammer,15m_engulf,15m_sweep_reclaim,15m_reclaim_prev_high,1h_hammer,1h_engulf,1h_sweep_reclaim,1h_reclaim_prev_high,4h_hammer,4h_engulf,4h_sweep_reclaim,4h_reclaim_prev_high
2026-09-15 17:00:00+03:00,76406.35,0,6,-6,0,6,-6,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 17:15:00+03:00,76347.23,1,5,-4,0,6,-6,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 17:30:00+03:00,75912.01,0,6,-6,0,6,-6,0,6,-6,"{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 17:45:00+03:00,75942.01,3,3,0,0,6,-6,0,6,-6,"{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",True,False,True,False,False,False,False,False,False,False,False,False
2026-09-15 18:00:00+03:00,76023.25,5,1,4,4,2,2,0,6,-6,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,False,False,False,False,False,False,False,False
2026-09-15 18:15:00+03:00,76348.01,6,0,6,5,1,4,1,5,-4,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,False,False,False,False,False,False,False,False
2026-09-15 18:30:00+03:00,76439.42,6,0,6,5,1,4,2,4,-2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 18:45:00+03:00,76512.0,6,0,6,5,1,4,2,4,-2,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": 1}","{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,True,False,False,False,False,True,False,False,False
2026-09-15 19:00:00+03:00,76282.02,2,4,-2,3,3,0,0,6,-6,"{""RSI"": -1, ""MACD"": 1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": -1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,False,False,False,False,False,False,False,False
2026-09-15 19:15:00+03:00,76482.38,5,1,4,4,2,2,1,5,-4,"{""RSI"": 1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": 1, ""STOCHRSI"": -1}","{""RSI"": -1, ""MACD"": 1, ""KDJ"": 1, ""W%R"": 1, ""OBV"": -1, ""STOCHRSI"": 1}","{""RSI"": -1, ""MACD"": -1, ""KDJ"": 1, ""W%R"": -1, ""OBV"": -1, ""STOCHRSI"": -1}",False,False,False,False,True,False,False,False,True,False,False,False
