rule,parts,train_n,cal_n,train_net,cal_net,train_win,cal_win,train_h1,cal_h1,train_exc,cal_exc,conservative_net,score
M15_ENGULF & M15_HL_HH & LEAD_GAP4,3,199,127,0.7944206123603866,0.2247169597413294,51.75879396984925,48.818897637795274,69.34673366834171,69.29133858267717,1.1435405091124093,0.5861145465238001,0.2247169597413294,0.2305781052065674
M15_ENGULF & M15_HL_HH & H1_NET_NONPOS,3,191,121,0.7674989343791293,0.1801804762235974,51.30890052356021,48.760330578512395,68.58638743455498,68.59504132231406,1.0836356170287327,0.5644403428476992,0.1801804762235974,0.1858248796520744
M15_ENGULF & M15_HL_HH & H1_BODY_NEG,3,200,127,0.611021921003492,0.1666600900769563,49.5,49.60629921259843,72.0,70.07874015748031,0.9895217697762155,0.5215044530939237,0.1666600900769563,0.17187513460789555
M15_ENGULF & STOCH_M00P & LEAD_KDJ,3,304,176,0.16625526012656114,0.20145685183322187,49.01315789473684,46.02272727272727,65.78947368421053,69.31818181818183,0.7063709159738227,0.559753103024507,0.16625526012656114,0.1718527911568062
M15_ENGULF & LEAD_MACD & LEAD_KDJ,3,282,161,0.16522181235197322,0.23594692358866842,45.0354609929078,49.06832298136646,66.66666666666666,68.94409937888199,0.6508605995364355,0.45814747270446804,0.16522181235197322,0.1698032870790179
M15_ENGULF & M15_HL_HH & LEAD_WPR,3,190,129,0.3973577305405455,0.1597390240069779,48.94736842105264,49.6124031007752,70.0,69.76744186046511,0.8217906791100297,0.5382156317718226,0.1597390240069779,0.16512118032469614
M15_ENGULF & M15_HL_HH & H1_PRICE1_NEG,3,199,126,0.5513287015021757,0.15482564267725113,48.743718592964825,49.2063492063492,71.35678391959799,69.84126984126983,0.9147975137633251,0.5207294196719937,0.15482564267725113,0.16003293687397108
M15_ENGULF & LEAD_MACD & LEAD_STOCH,3,257,155,0.3500917993873095,0.15036873559416383,44.3579766536965,50.32258064516129,65.75875486381322,69.03225806451613,0.9243002875250531,0.4217308396529325,0.15036873559416383,0.15458604399069314
M15_ENGULF & LEAD_MACD & LEAD_FAMILIES_4P,3,290,170,0.14721565691719207,0.22028280919492607,43.79310344827586,48.8235294117647,66.89655172413794,70.0,0.5998061991824529,0.4341470480895505,0.14721565691719207,0.15155712739808758
M15_ENGULF & LEAD_MACD & LEAD_OBV,3,286,170,0.13562989037867743,0.22028280919492607,43.35664335664335,48.8235294117647,66.78321678321679,70.0,0.5818718686806874,0.4341470480895505,0.13562989037867743,0.13997136085957293
M15_ENGULF & STOCH_M00P & LEAD_GAP6,3,249,149,0.1340526962708829,0.16544564255779284,45.38152610441767,46.308724832214764,64.65863453815261,70.46979865771812,0.651324375917832,0.4801049733665232,0.1340526962708829,0.13885374600454814
M15_ENGULF & H1_NET_NEG & LEAD_MACD,3,286,166,0.15989573014602318,0.13490874038356734,43.00699300699301,48.19277108433735,67.13286713286713,69.27710843373494,0.6427215510657054,0.3575203448842741,0.13490874038356734,0.13848394383241008
M15_ENGULF & STOCH_M00P & H1_NET_NONPOS,3,303,188,0.20024004852384833,0.13083377856242523,46.864686468646866,46.27659574468085,66.996699669967,70.74468085106383,0.7072080589423896,0.5012305759376087,0.13083377856242523,0.1358460843218013
M15_ENGULF & STOCH_M00P & LEAD_GAP4,3,316,192,0.14642760790269674,0.1308522852438364,46.835443037974684,46.35416666666667,67.08860759493672,71.35416666666666,0.6277357707608144,0.468632058966008,0.1308522852438364,0.1355386058334965
M15_ENGULF & M15_HL_HH & H4_RISING,3,230,152,0.7642157934854446,0.12981307439771247,50.8695652173913,48.68421052631579,66.95652173913044,64.47368421052632,1.2051150037541996,0.4110734912352065,0.12981307439771247,0.13392380931006453
M15_ENGULF & M15_HL_HH & LEAD_RSI,3,206,130,0.5885135979300521,0.12550651029244939,49.51456310679612,48.46153846153846,70.3883495145631,70.0,0.9281105494060775,0.47260116267880004,0.12550651029244939,0.1302325219192374
M15_ENGULF & M15_HL_HH & LEAD_OBV,3,206,130,0.5885135979300521,0.12550651029244939,49.51456310679612,48.46153846153846,70.3883495145631,70.0,0.9281105494060775,0.47260116267880004,0.12550651029244939,0.1302325219192374
M15_ENGULF & STOCH_M00P & H1_NET_NEG,3,277,164,0.12476184483862848,0.16565460251108524,45.84837545126354,48.170731707317074,65.70397111913357,70.1219512195122,0.6013534942823442,0.5240373019179967,0.12476184483862848,0.13000221785780844
M15_ENGULF & LEAD_MACD & H4_FAMILIES_3P,3,292,176,0.12860803100347518,0.12594081182053263,43.83561643835616,49.43181818181818,67.12328767123287,71.02272727272727,0.6203672803151108,0.34346410865408533,0.12594081182053263,0.12937545290707347
M15_ENGULF & M15_HL_HH & LEAD_FAMILIES_3P,3,206,128,0.6381434269095054,0.12436273123389226,50.48543689320388,48.4375,69.90291262135922,69.53125,0.985348483982546,0.48890813790630155,0.12436273123389226,0.12925181261295526
M15_ENGULF & LEAD_MACD & BTC4_FAMILIES_3P,3,305,182,0.125668319301701,0.14139709370395007,44.26229508196721,48.35164835164835,67.8688524590164,70.32967032967034,0.6001058446340988,0.331592792816253,0.125668319301701,0.12898424722986354
M15_ENGULF & M15_HL_HH & H1_NET_NEG,3,178,108,0.7198017940738616,0.12167206286223713,50.0,49.074074074074076,66.85393258426966,67.5925925925926,1.0629022346866732,0.4913806056332523,0.12167206286223713,0.12658586891856966
M15_ENGULF & LEAD_MACD & LEAD_FAMILIES_2P,3,308,178,0.12154509324240989,0.1554643613218287,44.15584415584416,48.87640449438202,67.53246753246754,70.2247191011236,0.5989991858758456,0.33783577248695873,0.12154509324240989,0.12492345096727948
M15_ENGULF & LEAD_RSI & LEAD_MACD,3,289,170,0.12022257900893248,0.22028280919492607,43.25259515570934,48.8235294117647,66.78200692041523,70.0,0.5686161776665862,0.4341470480895505,0.12022257900893248,0.12456404948982798
M15_ENGULF & LEAD_MACD & H4_FAMILIES_4P,3,275,164,0.11503359429066687,0.11925470540138172,43.63636363636363,48.78048780487805,66.9090909090909,71.34146341463415,0.6309651212301273,0.3647790308608003,0.11503359429066687,0.11868138459927487
M15_ENGULF & LEAD_MACD & LEAD_GAP6,3,284,167,0.11910750353539201,0.11353777217864296,42.6056338028169,47.90419161676647,66.90140845070422,68.8622754491018,0.6184586717541561,0.29989085478966443,0.11353777217864296,0.1165366807265396
M15_ENGULF & H4_RISING & LEAD_MACD,3,245,154,0.23509913011041533,0.11405032144704688,44.89795918367347,46.75324675324675,71.42857142857143,70.77922077922078,0.6998386395555739,0.24672446465595171,0.11405032144704688,0.1165175660936064
M15_ENGULF & M15_HL_HH & LEAD_FAMILIES_4P,3,185,118,0.7260841464606714,0.10929033208553822,51.35135135135135,47.45762711864407,69.72972972972973,68.64406779661016,1.0885452341892001,0.467118320509736,0.10929033208553822,0.11396151529063558
M15_ENGULF & H1_NET_NONPOS & LEAD_MACD,3,299,172,0.11021515399051691,0.13544089285509675,43.1438127090301,48.25581395348838,67.89297658862876,69.18604651162791,0.5982305645692484,0.341309590086841,0.11021515399051691,0.11362824989138533
M15_ENGULF & LEAD_MACD,2,309,183,0.11959925061146275,0.10878410069583752,44.01294498381877,48.08743169398907,67.63754045307444,70.49180327868852,0.5924213036122783,0.2990333752228275,0.10878410069583752,0.1117744344480658
M15_RISING & M15_ENGULF & LEAD_MACD,3,309,183,0.11959925061146275,0.10878410069583752,44.01294498381877,48.08743169398907,67.63754045307444,70.49180327868852,0.5924213036122783,0.2990333752228275,0.10878410069583752,0.1117744344480658
M15_ENGULF & H4_PRICE1_POS & LEAD_MACD,3,275,160,0.10701774031593288,0.11982348780503363,43.63636363636363,48.75,66.18181818181819,70.625,0.5962962960135851,0.3803329093862289,0.10701774031593288,0.11082106940979516
M15_ENGULF & LEAD_MACD & LEAD_FAMILIES_3P,3,300,172,0.10672060006949678,0.19980117158528418,43.666666666666664,48.837209302325576,67.33333333333333,69.76744186046511,0.5781347589764857,0.39447070508610393,0.10672060006949678,0.11066530712035783
M15_ENGULF & LEAD_MACD & LEAD_GAP4,3,302,175,0.10171761621651029,0.16826147948163891,43.377483443708606,48.57142857142857,67.88079470198676,69.71428571428572,0.5894991919264658,0.3578884386327264,0.10171761621651029,0.10529650060283756
M15_ENGULF & H4_RISING & LEAD_GAP4,3,405,257,0.12307652915750969,0.08853301806499796,45.925925925925924,47.081712062256805,70.61728395061728,71.20622568093385,0.5985964359613448,0.38849576702570604,0.08853301806499796,0.09241797573525502
M15_ENGULF & LEAD_STOCH & LEAD_GAP6,3,340,219,0.08392439761846153,0.12257400520248848,42.94117647058823,48.858447488584474,63.8235294117647,69.86301369863014,0.6179320657136729,0.5028300920018156,0.08392439761846153,0.08895269853847969
M15_ENGULF & H1_NET_NEG & H4_RISING,3,342,221,0.09517795888273377,0.08469493380518116,45.02923976608187,48.41628959276018,69.2982456140351,70.13574660633483,0.5823493886956745,0.36676697219137655,0.08469493380518116,0.08836260352709492
M15_ENGULF & STOCH_M00P & LEAD_FAMILIES_4P,3,294,184,0.1903757721488177,0.08366170986262586,47.95918367346938,46.19565217391305,66.3265306122449,71.19565217391305,0.6920122112070877,0.45093144069560664,0.08366170986262586,0.08817102426958193
M15_ENGULF & H1_PRICE1_NEG & LEAD_MACD,3,280,166,0.08078697007804103,0.21438880638043528,42.5,48.19277108433735,66.42857142857143,69.27710843373494,0.5506788986363239,0.4360561157069209,0.08078697007804103,0.08514753123511024
M15_ENGULF & H4_RISING & LEAD_GAP6,3,324,208,0.07998218753149636,0.08067835980013506,43.51851851851852,47.11538461538461,69.1358024691358,70.1923076923077,0.5944384814005077,0.32106384642695396,0.07998218753149636,0.0831928259957659
M15_ENGULF & H1_NET_NONPOS & LEAD_STOCH,3,369,241,0.07796375223782387,0.08715555563319637,43.08943089430895,48.96265560165975,64.76964769647697,70.12448132780082,0.6201960490427141,0.4827553179618242,0.07796375223782387,0.08279130541744212
M15_ENGULF & H4_RISING & LEAD_KDJ,3,383,233,0.07751122030484196,0.11079579777319465,46.47519582245431,46.78111587982833,69.19060052219321,69.52789699570815,0.6221687866752971,0.4042061495429852,0.07751122030484196,0.08155328180027181
M15_ENGULF & STOCH_M00P & H1_PRICE1_NEG,3,314,195,0.09465656048969241,0.0702398814524019,45.22292993630573,46.15384615384615,66.87898089171973,70.25641025641025,0.5626476069941404,0.42152808324368957,0.0702398814524019,0.0744551622848388
M15_ENGULF & M15_HL_HH & LEAD_GAP6,3,168,102,0.7923353449696839,0.06945786007487857,51.78571428571429,47.05882352941176,68.45238095238095,67.64705882352942,1.165827128871391,0.4426104635643142,0.06945786007487857,0.07388396471052172
M15_ENGULF & LEAD_KDJ & LEAD_STOCH,3,357,216,0.055797448350576394,0.1330809178568107,44.25770308123249,50.0,63.02521008403361,69.44444444444444,0.6017261863283331,0.5366357482682067,0.055797448350576394,0.061163805833258464
M15_ENGULF & LEAD_STOCH & LEAD_GAP4,3,381,247,0.13162059652461536,0.05454949219160808,43.832020997375324,48.582995951417004,65.35433070866141,70.04048582995951,0.6764602921457976,0.4333458099752537,0.05454949219160808,0.05888295029136062
M15_ENGULF & H1_NET_NONPOS & H4_RISING,3,380,248,0.08782994185766685,0.054877768146587916,45.0,46.774193548387096,70.26315789473684,70.56451612903226,0.5983443129595913,0.371515628491693,0.054877768146587916,0.05859292443150484
M15_ENGULF & M15_RECLAIM_HIGH & LEAD_GAP4,3,294,177,0.07761968733500621,0.04934046760472408,44.21768707482993,49.152542372881356,71.08843537414967,71.75141242937853,0.49552076301461967,0.49800318359922435,0.04934046760472408,0.05429567523487028
M15_ENGULF & LEAD_STOCH & LEAD_FAMILIES_4P,3,354,232,0.04880600589951436,0.11497200786534278,43.22033898305085,49.137931034482754,63.2768361581921,69.39655172413794,0.5700526684804319,0.5443954980800285,0.04880600589951436,0.05424996088031464
M15_ENGULF & H1_BODY_NEG & LEAD_MACD,3,282,165,0.04896306038576725,0.13776250133930526,42.5531914893617,47.878787878787875,67.02127659574468,69.0909090909091,0.5217979527073818,0.3298595388112163,0.04896306038576725,0.05226165577387941
M15_ENGULF & LEAD_OBV & LEAD_STOCH,3,351,233,0.04421964359346459,0.10857096668036148,42.73504273504273,48.927038626609445,63.24786324786324,69.52789699570815,0.5626772315675918,0.5344851917262389,0.04421964359346459,0.04956449551072698
M15_ENGULF & H1_NET_NEG & LEAD_STOCH,3,351,227,0.04079517041014392,0.12074115303576048,42.16524216524217,49.33920704845815,64.1025641025641,70.04405286343612,0.558296144497946,0.5248975523877806,0.04079517041014392,0.04604414593402172
M15_ENGULF & STOCH_M00P & LEAD_RSI,3,332,207,0.09784033440617863,0.035989876969647,45.48192771084337,45.893719806763286,65.96385542168674,70.53140096618358,0.5490278709582176,0.33923802945408227,0.035989876969647,0.03938225726418782
M15_ENGULF & STOCH_M00P & LEAD_OBV,3,330,207,0.10049774962286735,0.035989876969647,45.45454545454545,45.893719806763286,65.75757575757576,70.53140096618358,0.5490847736155637,0.33923802945408227,0.035989876969647,0.03938225726418782
M15_ENGULF & LEAD_RSI & LEAD_STOCH,3,354,233,0.03241602143103343,0.10857096668036148,42.65536723163842,48.927038626609445,63.2768361581921,69.52789699570815,0.5520181615344395,0.5344851917262389,0.03241602143103343,0.037760873348295816
M15_ENGULF & H4_NET_POS & LEAD_MACD,3,288,168,0.12974698462221265,0.02849445458743139,44.09722222222222,48.80952380952381,67.36111111111111,71.42857142857143,0.6301464482643162,0.2586315493442423,0.02849445458743139,0.031080770080873815
M15_ENGULF & STOCH_M00P & LEAD_FAMILIES_3P,3,339,207,0.07387600111765849,0.027118721170513695,45.72271386430678,45.893719806763286,66.07669616519173,70.53140096618358,0.5465230893654222,0.32435536593884023,0.027118721170513695,0.030362274829902097
M15_ENGULF & LEAD_STOCH & LEAD_FAMILIES_3P,3,366,235,0.021261295425826585,0.09453089015342842,43.169398907103826,48.93617021276596,64.20765027322405,69.36170212765957,0.5643751904633968,0.504591543709787,0.021261295425826585,0.026307210862924455
M15_ENGULF & M15_HL_HH & H1_RISE_NEG,3,171,115,0.188937736192375,0.022369322889358553,45.614035087719294,46.95652173913044,67.83625730994152,66.08695652173913,0.6477806361699529,0.35456119239635264,0.022369322889358553,0.02591493481332208
M15_ENGULF & H4_RISING & LEAD_STOCH,3,338,229,0.3113330367687623,0.02168482069371636,45.857988165680474,47.59825327510917,67.15976331360946,69.43231441048034,0.8775987076317139,0.39574964695322384,0.02168482069371636,0.025642317163248596
M15_ENGULF & BTC4_RISING & LEAD_MACD,3,252,158,0.020911621569743435,0.06859523804820095,42.857142857142854,48.10126582278481,68.65079365079364,68.35443037974683,0.46042383037935014,0.18825635477867803,0.020911621569743435,0.022794185117530216
M15_ENGULF & H1_PRICE1_NEG & LEAD_STOCH,3,334,225,0.014605869692314782,0.16778088687208925,41.91616766467065,50.22222222222222,64.07185628742515,69.33333333333334,0.5547217482375837,0.6073412084965116,0.014605869692314782,0.02015308717469062
M15_ENGULF & STOCH_M00P & H1_BODY_NEG,3,318,194,0.10202622174634166,0.015014315232082819,45.59748427672956,46.391752577319586,67.9245283018868,70.61855670103093,0.5726902571936996,0.3365489767440411,0.015014315232082819,0.01837980499952323
M15_ENGULF & H1_NET_NEG & LEAD_FAMILIES_4P,3,401,244,0.012330077245440848,0.196636394590207,43.89027431421446,49.59016393442623,67.33167082294264,68.85245901639344,0.5090426613637034,0.5305215821962996,0.012330077245440848,0.017420503859077882
M15_ENGULF & M15_RECLAIM_HIGH & H1_NET_NONPOS,3,275,166,0.12023638133304554,0.009610461138462117,44.0,48.795180722891565,70.18181818181817,70.48192771084338,0.5384248224308019,0.5078397796509381,0.009610461138462117,0.014688858934971499
M15_ENGULF & BTC4_FAMILIES_3P & LEAD_GAP4,3,478,290,0.009750631124329551,0.13002123735694412,44.56066945606695,47.93103448275862,68.41004184100419,70.0,0.49688774885920106,0.43294387657104555,0.009750631124329551,0.014080069890040008
M15_ENGULF & H1_NET_NONPOS & LEAD_KDJ,3,427,247,0.00895129749881966,0.17984804478383482,44.26229508196721,47.77327935222672,66.97892271662764,69.23076923076923,0.5226676316481702,0.4997655817183978,0.00895129749881966,0.013948953316003636
M15_ENGULF & STOCH_M00P & H1_RISE_NEG,3,284,179,0.008429328062598133,0.04576727032181999,45.42253521126761,46.927374301675975,65.84507042253522,68.15642458100558,0.6056718192612378,0.34834264821092153,0.008429328062598133,0.011912754544707348
M15_ENGULF & M15_HL_HH & LEAD_KDJ,3,192,113,0.6824090377218465,0.007415823137039372,52.083333333333336,46.017699115044245,67.70833333333334,65.48672566371681,1.0119131312100689,0.429778347564941,0.007415823137039372,0.011713606612688783
M15_ENGULF & H1_NET_NONPOS & LEAD_FAMILIES_4P,3,431,267,0.004764542171756226,0.10365121942852572,43.851508120649655,47.565543071161045,67.74941995359629,69.28838951310861,0.5079546259387454,0.46517559300607086,0.004764542171756226,0.009416298101816933
M15_ENGULF & M15_RECLAIM_HIGH & LEAD_MACD,3,192,108,0.23691959097476287,0.004007886158559585,44.79166666666667,50.0,68.75,72.22222222222221,0.5490082389943195,0.4263379634028955,0.004007886158559585,0.00827126579258854
M15_ENGULF & H1_NET_NONPOS & H4_FAMILIES_4P,3,419,256,0.002241423840718656,0.14336370771141121,43.198090692124104,48.046875,67.78042959427208,69.53125,0.5669518157406936,0.5295448295724405,0.002241423840718656,0.007536872136443062
M15_ENGULF & H4_RISING & LEAD_FAMILIES_4P,3,372,244,0.07374038511009552,0.0025943375084932735,45.69892473118279,46.31147540983606,70.16129032258065,70.90163934426229,0.5832979450232038,0.32657752198581774,0.0025943375084932735,0.005860112728351451
M15_ENGULF & STOCH_M00P & LEAD_MACD,3,190,111,0.3087036625001026,0.0015154568321950068,46.8421052631579,44.14414414414414,66.3157894736842,70.27027027027027,0.7807568143372843,0.20067290099128515,0.0015154568321950068,0.003522185842107858
M15_ENGULF & H1_NET_NONPOS & H4_FAMILIES_3P,3,439,272,-0.0018966606434139405,0.15896586533788154,43.052391799544424,48.89705882352941,67.65375854214123,69.85294117647058,0.5276437609886878,0.5262983292458053,-0.0018966606434139405,0.0033663226490441124
M15_ENGULF & LEAD_KDJ & LEAD_FAMILIES_4P,3,425,250,-0.0018109729425611388,0.16472085995880298,44.470588235294116,48.4,67.05882352941175,70.0,0.49694236594244684,0.4979008894454331,-0.0018109729425611388,0.00315845071686333
M15_ENGULF & H1_NET_NONPOS & H4_NET_POS,3,433,260,-0.0018331909088685394,0.10683975588969884,43.187066974595844,47.69230769230769,67.6674364896074,69.61538461538461,0.534976487320493,0.4704075351239322,-0.0018331909088685394,0.002870884442370782
M15_ENGULF & LEAD_STOCH & LEAD_FAMILIES_2P,3,389,249,0.03863281393447837,-0.0014010698831644634,43.70179948586118,48.99598393574297,64.52442159383034,69.47791164658635,0.5751173275321754,0.4133838658416704,-0.0014010698831644634,0.0027327687752522404
M15_ENGULF & LEAD_GAP4,2,488,294,-0.00251946057582752,0.13549644918897827,44.26229508196721,48.29931972789115,68.0327868852459,70.40816326530613,0.4662853191031049,0.44328495359380404,-0.00251946057582752,0.0019133889601105204
M15_RISING & M15_ENGULF & LEAD_GAP4,3,488,294,-0.00251946057582752,0.13549644918897827,44.26229508196721,48.29931972789115,68.0327868852459,70.40816326530613,0.4662853191031049,0.44328495359380404,-0.00251946057582752,0.0019133889601105204
M15_ENGULF & BTC4_RISING & LEAD_GAP4,3,399,262,-0.003879888074103272,0.01989496260697176,44.611528822055135,46.94656488549619,70.17543859649122,69.46564885496184,0.4729330615214208,0.27025229075185075,-0.003879888074103272,-0.0011773651665847643
M15_ENGULF & M15_RECLAIM_HIGH & H4_RISING,3,321,211,0.31788467703129847,-0.006004077478134496,46.41744548286604,47.39336492890995,67.91277258566979,65.40284360189574,0.7455476360050457,0.4156344624299674,-0.006004077478134496,-0.0018477328538348227
M15_ENGULF & STOCH_M00P & LEAD_STOCH,3,270,169,0.264589200554695,-0.006706181157305521,45.925925925925924,45.562130177514796,62.59259259259259,69.8224852071006,0.80086336374917,0.47295432819419536,-0.006706181157305521,-0.001976637875363568
M15_ENGULF & LEAD_KDJ & H4_FAMILIES_4P,3,423,244,-0.009144530545681505,0.1911323637697072,44.680851063829785,49.18032786885246,66.903073286052,68.44262295081968,0.588367759212294,0.5564837134738353,-0.009144530545681505,-0.003579693410943152
M15_ENGULF & STOCH_M0PP & H4_RISING,3,197,117,0.10097709288836802,-0.006543342176744498,42.63959390862944,47.008547008547005,68.02030456852792,65.8119658119658,0.7112474668371539,0.2033370746425795,-0.006543342176744498,-0.004509971430318703
M15_ENGULF & LEAD_STOCH & H4_FAMILIES_3P,3,400,261,0.18057720737423888,-0.010178003103827191,44.0,48.65900383141762,63.74999999999999,67.81609195402298,0.7487022305961151,0.45717495421210136,-0.010178003103827191,-0.0056062535617061775
M15_ENGULF & H4_NET_POS & LEAD_KDJ,3,438,252,-0.011479566018424755,0.15375102330910834,44.74885844748858,49.2063492063492,66.89497716894978,68.65079365079364,0.5562538219531385,0.4979074397906769,-0.011479566018424755,-0.006500491620517986
M15_ENGULF & LEAD_FAMILIES_4P & LEAD_GAP4,3,435,268,-0.011245220502453123,0.1097208018764962,44.13793103448276,48.134328358208954,67.35632183908045,69.77611940298507,0.4993162702616724,0.44129835600295403,-0.011245220502453123,-0.006832236942423582
M15_ENGULF & LEAD_KDJ & LEAD_GAP4,3,432,251,-0.012037036664414025,0.2370643827751317,44.675925925925924,49.00398406374502,66.89814814814815,69.7211155378486,0.5090731997844479,0.5493131484405286,-0.012037036664414025,-0.006946304666569546
