feature,train_effect_iqr,calib_effect_iqr,final_effect_iqr,same_direction_all,min_abs_effect
h1_obv_accn,-0.31121304054057125,-0.2857492966215496,-0.38489108154878326,True,0.2857492966215496
h1_rsi_d1n,-0.25944607076564746,-0.439603741408182,-0.3188869952685107,True,0.25944607076564746
h1_body_signed_pct,-0.2547967375275687,-0.3785906546953321,-0.32747518307206175,True,0.2547967375275687
h1_obv_sign4,-0.5,-1.0,-0.25,True,0.25
h1_motion_rise,-0.25,-0.5,-0.5,True,0.25
h1_price_ret_1,-0.2440157921085554,-0.38284551865778776,-0.312421518623613,True,0.2440157921085554
h1_wpr_accn,-0.22420297861857255,-0.24527766835406656,-0.3317838071204699,True,0.22420297861857255
h1_wpr_d1n,-0.21041841952599785,-0.34107383588192286,-0.35308082146361075,True,0.21041841952599785
h1_kdj_j_accn,-0.21034692450448667,-0.30169382505688186,-0.2887793625761891,True,0.21034692450448667
h1_kdj_spread_accn,-0.20553891580186961,-0.27594440616650634,-0.2863946050254714,True,0.20553891580186961
h1_rsi_accn,-0.20178209905212094,-0.22854451968855205,-0.35677518237532757,True,0.20178209905212094
h1_close_loc,-0.1982534812367261,-0.39904147786685173,-0.4206961748294667,True,0.1982534812367261
h1_obv_d1n,-0.19593321769440716,-0.39404203516389996,-0.183362149539914,True,0.183362149539914
h1_macd_hist_accn,-0.17636867651230287,-0.22243260161056097,-0.3354983271327435,True,0.17636867651230287
h1_price_accel_1,-0.1762488835350252,-0.18196505630752838,-0.34352182616583354,True,0.1762488835350252
h1_obv_d3n,-0.22747868862041348,-0.33033245243170295,-0.17478873928017696,True,0.17478873928017696
h1_motion_net,-0.16666666666666666,-0.2857142857142857,-0.16,True,0.16
h4_price_ret_4,-0.14963089073283023,-0.16209439279358953,-0.14939303526291176,True,0.14939303526291176
m15_wpr_d1n,0.14743876443493567,0.17307243975444317,0.2159105577492367,True,0.14743876443493567
h1_price_ret_4,-0.14688143493470693,-0.33048772777216495,-0.22856377489786728,True,0.14688143493470693
h4_price_ret_8,-0.14805155836583697,-0.19339462061100945,-0.1445049722455133,True,0.1445049722455133
h4_price_ret_2,-0.1975955642694882,-0.20242837043117456,-0.1399820284195121,True,0.1399820284195121
h1_rsi_d3n,-0.1389492033957049,-0.194236353344416,-0.1574169320219953,True,0.1389492033957049
h1_price_ret_8,-0.194076078461266,-0.2523209678105493,-0.12664298274181354,True,0.12664298274181354
m15_kdj_j_accn,0.14478620255729796,0.14923021204527007,0.12291085842323039,True,0.12291085842323039
