type,family,name,feature,side,quantile,threshold,disc_n,cal_n,disc_keep,cal_keep,disc_net24_imp,cal_net24_imp,disc_net12_imp,cal_net12_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score,stable_train_cal
single,PULLBACK,causal_dd_high_48h LE DQ25(-7.3594696),causal_dd_high_48h,LE,0.25,-7.35946963873943,39,60,0.25161290322580643,0.5217391304347826,0.7868682280556945,1.8833041770649435,-0.15958820505257743,1.362510765573247,9.90901571546732,16.15942028985507,9.263854425144743,16.159420289855078,1.2135599162542068,True
single,BB,h1_bb_width GE DQ65(0.078816463),h1_bb_width,GE,0.65,0.07881646322704311,54,58,0.34838709677419355,0.5043478260869565,0.9999507386796553,1.3535750207916761,0.30007759239777365,1.2433183645260815,-0.4898446833930734,27.13643178410795,0.7168458781361977,27.13643178410795,1.1046194730798078,True
single,BB,h4_bb_width GE DQ65(0.19233492),h4_bb_width,GE,0.65,0.1923349211108159,54,73,0.34838709677419355,0.6347826086956522,0.6845857817420931,0.8546750195237302,0.2610434193745079,0.22588029214099628,3.213859020310622,2.620607504466946,2.5686977299880454,2.6206075044669532,0.8936360637252111,True
single,BB,h1_bb_width GE DQ50(0.063900884),h1_bb_width,GE,0.5,0.063900884224614,78,64,0.5032258064516129,0.5565217391304348,0.5817076741574314,1.232995274377938,0.4584465718430455,1.1587387944259109,-1.6294458229942137,25.951086956521742,-0.9925558312655127,25.951086956521742,0.6734294829873606,True
single,PULLBACK,causal_dd_high_24h LE DQ60(-2.3674833),causal_dd_high_24h,LE,0.6,-2.367483317597748,93,91,0.6,0.7913043478260869,0.5544574185032847,0.5744839070585871,0.18470178660061332,0.23509653448873782,0.6451612903225694,2.7711419015766907,1.0752688172042966,2.7711419015766836,0.6599632588672623,True
single,BB,m15_bb_width GE DQ50(0.027786062),m15_bb_width,GE,0.5,0.0277860620420374,78,82,0.5032258064516129,0.7130434782608696,0.5186280844576472,1.1708506966333232,0.2620192846850957,0.034664027708916856,0.9346567411083484,8.801696712619304,1.5715467328370494,8.801696712619304,0.5902311310457595,True
single,PULLBACK,causal_dd_high_8h LE DQ40(-2.2471273),causal_dd_high_8h,LE,0.4,-2.247127306623231,62,54,0.4,0.46956521739130436,0.4615482823047454,0.6793322781087433,0.7543142735172916,-0.41244584733440376,3.8709677419354804,5.233494363929147,3.225806451612897,5.233494363929147,0.4978373970280265,False
single,PULLBACK,causal_dd_high_48h LE DQ40(-4.8205039),causal_dd_high_48h,LE,0.4,-4.8205038800159805,62,75,0.4,0.6521739130434783,0.18165270347821982,1.0650095105360262,0.11536762350751184,0.6039969246834179,5.483870967741929,6.492753623188406,4.838709677419352,6.492753623188406,0.4833216942864939,True
single,PULLBACK,causal_dd_high_48h LE DQ60(-3.1058166),causal_dd_high_48h,LE,0.6,-3.105816551051002,93,88,0.6,0.7652173913043478,0.3965318040440833,0.8275432255812393,0.12417127554669172,0.3762307082040025,0.6451612903225694,1.2351778656126484,1.0752688172042966,1.2351778656126555,0.4808519655391884,True
single,PULLBACK,causal_dd_high_2h LE DQ40(-1.3146106),causal_dd_high_2h,LE,0.4,-1.3146106451420114,62,67,0.4,0.5826086956521739,0.29761411003907456,1.1131351614356717,0.4288851489746921,-0.14271851043359207,5.483870967741929,4.542504866969502,4.838709677419352,4.542504866969509,0.47478787473579254,True
