rule_id,family,plan,DISCOVERY_n,DISCOVERY_mean,DISCOVERY_pf,DISCOVERY_target_first,DISCOVERY_stop_first,DISCOVERY_signals_per_day,CALIBRATION_n,CALIBRATION_mean,CALIBRATION_pf,CALIBRATION_target_first,CALIBRATION_stop_first,CALIBRATION_signals_per_day,CROSS_HOLDOUT_PRE2026_n,CROSS_HOLDOUT_PRE2026_mean,CROSS_HOLDOUT_PRE2026_pf,CROSS_HOLDOUT_PRE2026_target_first,CROSS_HOLDOUT_PRE2026_stop_first,CROSS_HOLDOUT_PRE2026_signals_per_day,FINAL_HOLDOUT_2026_n,FINAL_HOLDOUT_2026_mean,FINAL_HOLDOUT_2026_pf,FINAL_HOLDOUT_2026_target_first,FINAL_HOLDOUT_2026_stop_first,FINAL_HOLDOUT_2026_signals_per_day,ALL_2026_n,ALL_2026_mean,ALL_2026_pf,ALL_2026_target_first,ALL_2026_stop_first,ALL_2026_signals_per_day
DLR_001,DEFENSIVE_LEADER_RELEASE,TP3_SL2,23258,-0.20118584223800073,0.840005746215381,36.327285235187894,56.212915985897325,31.816689466484267,14363,-0.3411435160397132,0.7427010763621477,34.05973682378333,59.29819675555245,39.35068493150685,20019,-0.2719997844576243,0.7908770497936733,35.646136170637895,58.27463909286178,18.26551094890511,8201,-0.2620388281400281,0.7938807948057813,34.556761370564566,56.26143153273991,31.54230769230769,27076,-0.24829051135497526,0.8027271051789064,34.458561087309796,55.61013443640124,104.13846153846154
DLR_001,DEFENSIVE_LEADER_RELEASE,TP4_SL2P5,23258,-0.1747034101535082,0.8830569170430809,31.90300111789492,53.5772637372087,31.816689466484267,14363,-0.38236753301390264,0.7614332856572021,30.07728190489452,57.42532897027084,39.35068493150685,20019,-0.2865334541212195,0.816467624278475,31.20035965832459,56.2165942354763,18.26551094890511,8201,-0.2654517178480115,0.8222080670240363,29.337885623704423,52.38385562736252,31.54230769230769,27076,-0.2513135534592198,0.8300923010797964,29.291623578076525,51.77648101639829,104.13846153846154
DLR_001,DEFENSIVE_LEADER_RELEASE,TP5_SL3,23258,-0.14810885834324305,0.9121043816284449,27.697996388339497,49.952704445782096,31.816689466484267,14363,-0.4381943594969455,0.7612593208467614,25.84418297013159,54.32709044071573,39.35068493150685,20019,-0.30330217122473335,0.8289222402306986,26.754583146011292,52.66996353464209,18.26551094890511,8201,-0.29177812323028357,0.8249240527945205,24.289720765760272,47.54298256310206,31.54230769230769,27076,-0.2674644582790246,0.8378909218764091,24.49771014920963,47.04904712660659,104.13846153846154
DLR_002,DEFENSIVE_LEADER_RELEASE,TP3_SL2,23255,-0.2013580012372144,0.8398774456291908,36.32337131799613,56.21586755536444,31.812585499316004,14363,-0.3414916327284273,0.7424682696152349,34.05277449000905,59.30515908932674,39.35068493150685,20016,-0.2719606157602508,0.790903164371878,35.646482813749,58.27338129496403,18.26277372262774,8201,-0.2620388281400281,0.7938807948057813,34.556761370564566,56.26143153273991,31.54230769230769,27075,-0.24840309826213525,0.8026449413214358,34.4561403508772,55.61218836565097,104.13461538461539
DLR_002,DEFENSIVE_LEADER_RELEASE,TP4_SL2P5,23255,-0.17465714527414722,0.8830847956593149,31.90281659858095,53.57557514513008,31.812585499316004,14363,-0.38282008470923096,0.7611789400957417,30.07031957112024,57.432291304045116,39.35068493150685,20016,-0.2864964637316494,0.8164871107829467,31.200039968025578,56.21502797761791,18.26277372262774,8201,-0.2654517178480115,0.8222080670240363,29.337885623704423,52.38385562736252,31.54230769230769,27075,-0.2514631864621177,0.8299974163689432,29.289012003693443,51.77839335180055,104.13461538461539
DLR_002,DEFENSIVE_LEADER_RELEASE,TP5_SL3,23255,-0.1484031746870414,0.9119338880411092,27.692969253923888,49.95484841969469,31.812585499316004,14363,-0.4381943594969455,0.7612593208467614,25.84418297013159,54.32709044071573,39.35068493150685,20016,-0.30326769413209115,0.8289364744402554,26.753597122302157,52.667865707434046,18.26277372262774,8201,-0.29177812323028357,0.8249240527945205,24.289720765760272,47.54298256310206,31.54230769230769,27075,-0.2673561467170035,0.8379509459305359,24.49861495844875,47.04709141274238,104.13461538461539
DLR_003,DEFENSIVE_LEADER_RELEASE,TP3_SL2,14480,-0.21323941231177349,0.8350410191855773,37.831491712707184,58.238950276243095,19.80848153214774,8798,-0.3151490277959653,0.7639551636626228,35.712661968629234,60.00227324391907,24.104109589041094,12404,-0.2785042970960409,0.7900892641232738,36.84295388584328,59.82747500806192,11.317518248175183,5151,-0.32451452128679337,0.7556097285084014,34.7505338769171,59.46418171228888,19.81153846153846,17199,-0.3171216360520767,0.7598625125297656,34.82760625617768,59.03250188964475,66.15
DLR_003,DEFENSIVE_LEADER_RELEASE,TP4_SL2P5,14480,-0.19629656809097001,0.8745264305390005,34.24723756906077,56.774861878453045,19.80848153214774,8798,-0.3632442804197233,0.7776129741237753,32.14366901568538,58.92248238235963,24.104109589041094,12404,-0.2851206008717811,0.8229042657739337,33.27958722992583,58.5536923573041,11.317518248175183,5151,-0.3569546763122608,0.7759074400483987,30.440691127936326,57.07629586488061,19.81153846153846,17199,-0.3298292822491439,0.790729042570072,30.77504506075935,56.282341996627714,66.15
DLR_003,DEFENSIVE_LEADER_RELEASE,TP5_SL3,14480,-0.17023392518278474,0.9050350603635902,30.849447513812155,54.06077348066298,19.80848153214774,8798,-0.42993972377427037,0.773212368394356,28.267788133666745,56.75153443964538,24.104109589041094,12404,-0.2960681636440569,0.8396672493002192,29.498548855207996,55.61109319574331,11.317518248175183,5151,-0.4099761319724932,0.7742948579167781,26.16967579110852,53.36827800427102,19.81153846153846,17199,-0.34783374801763567,0.8046763004310169,26.75736961451247,52.28210942496657,66.15
DLR_004,DEFENSIVE_LEADER_RELEASE,TP3_SL2,14477,-0.21351845619081855,0.834839964232624,37.825516336257515,58.2441113490364,19.80437756497948,8798,-0.31571733877573344,0.7635737824966684,35.701295749033875,60.01363946351444,24.104109589041094,12402,-0.2785975891936213,0.7900247368587872,36.840832123850994,59.82905982905983,11.315693430656934,5151,-0.32451452128679337,0.7556097285084014,34.7505338769171,59.46418171228888,19.81153846153846,17198,-0.31730288512964694,0.7597392335805861,34.82381672287475,59.03593441097802,66.14615384615385
DLR_004,DEFENSIVE_LEADER_RELEASE,TP4_SL2P5,14477,-0.19622672556173557,0.874567160494219,34.24742695309802,56.77281204669475,19.80437756497948,8798,-0.36398308469342183,0.777202520237985,32.13230279609002,58.933848601954985,24.104109589041094,12402,-0.28525527602109113,0.82282522938671,33.27689082406064,58.55507176261894,11.315693430656934,5151,-0.3569546763122608,0.7759074400483987,30.440691127936326,57.07629586488061,19.81153846153846,17198,-0.3300694165253532,0.7905888580201337,30.771019886033258,56.285614606349576,66.14615384615385
DLR_004,DEFENSIVE_LEADER_RELEASE,TP5_SL3,14477,-0.17071128249269346,0.9047767576890478,30.84202528148097,54.065068729709196,19.80437756497948,8798,-0.42993972377427037,0.773212368394356,28.267788133666745,56.75153443964538,24.104109589041094,12402,-0.29624492032259975,0.8395749831776208,29.49524270278987,55.61199806482825,11.315693430656934,5151,-0.4099761319724932,0.7742948579167781,26.16967579110852,53.36827800427102,19.81153846153846,17198,-0.34766790511427587,0.8047603811844329,26.758925456448424,52.27933480637284,66.14615384615385
DLR_005,DEFENSIVE_LEADER_RELEASE,TP3_SL2,9402,-0.23330091512172482,0.8234693383451686,38.555626462454796,59.85960433950224,12.861833105335156,5656,-0.3127388429625058,0.7686321711968389,36.757425742574256,61.06789250353607,15.495890410958904,7812,-0.26852425235669963,0.7991750252783311,37.864823348694316,60.53507424475166,7.127737226277373,3333,-0.34861453527573083,0.7426866826960709,35.28352835283528,60.93609360936093,12.819230769230769,11112,-0.3659638503061681,0.7312743121562973,34.99820014398848,61.31209503239741,42.738461538461536
DLR_005,DEFENSIVE_LEADER_RELEASE,TP4_SL2P5,9402,-0.219394157137632,0.8646764631498717,35.8753456711338,59.38098276962348,12.861833105335156,5656,-0.3380844455436056,0.796305570429954,33.9992927864215,60.44908062234795,15.495890410958904,7812,-0.2658514939279532,0.8376289167299131,35.09984639016897,60.010240655401944,7.127737226277373,3333,-0.37626968638116265,0.7711969232019155,32.16321632163216,59.525952595259525,12.819230769230769,11112,-0.3628246779840043,0.7784808668782782,32.289416846652266,59.21526277897768,42.738461538461536
