rank,signature,score,disc_n,disc_mean24,disc_win24,disc_tp3,cal_n,cal_mean24,cal_win24,cal_tp3
1,CB:0|PB:0|RC:0|ER:9+,4.2787156771927926,149,3.2787321891356105,51.006711409395976,49.664429530201346,178,0.5025669207828232,55.0561797752809,57.865168539325836
2,CB:0|PB:0|RC:9+|ER:0,4.201885074259825,38870,0.12435762476932659,49.287368150244404,33.06663236429122,33849,-0.4601176196119025,46.44154923335992,34.0778161836391
3,CB:0|PB:0|RC:6-8|ER:0,4.10495107534828,34029,-0.020020039086927746,46.70428164212877,33.104117076611125,28876,-0.4830181730215345,45.272890982130484,33.893198503947914
4,CB:0|PB:0|RC:3-5|ER:0,4.098626024213771,36312,-0.10897883373861014,46.00132187706543,32.37497246089447,27421,-0.4634458831785387,45.326574523175665,33.4305824003501
5,CB:0|PB:3-5|RC:0|ER:0,3.9501202230985957,50516,0.154905711080069,45.817166838229475,36.35679784622694,29409,-0.6024644341304526,42.228569485531644,35.67275323880445
6,CB:0|PB:1-2|RC:0|ER:0,3.945742201529425,26100,0.07876526326296487,46.582375478927204,35.923371647509576,18209,-0.531347477737539,43.665220495359435,35.735076061288375
7,CB:0|PB:0|RC:0|ER:6-8,3.8693439227527673,388,0.6400596873447123,48.1958762886598,43.55670103092783,442,0.06143877756980513,51.35746606334841,47.737556561085974
8,CB:0|PB:6-8|RC:0|ER:0,3.819923902727333,56166,0.12079812087030113,46.074137378485204,33.903073033507816,31743,-0.6817517844880799,41.30989509498157,33.55070409224081
9,CB:0|PB:0|RC:1-2|ER:0,3.8195189298225034,7292,-0.10599359262146255,45.87218869994514,32.4190894130554,5828,-0.37267870394834635,46.61976664378861,34.711736444749484
10,CB:3-5|PB:0|RC:0|ER:0,3.7000947752696343,15723,0.16245321702808704,46.01539146473319,35.01876232271195,11104,-0.5905985284090395,42.66030259365994,34.10482708933718
11,CB:6-8|PB:0|RC:0|ER:0,3.653234113997068,17692,-0.02753766609744153,44.8394754691386,33.591453764413295,12925,-0.6193562951085454,41.23017408123791,33.4468085106383
12,CB:0|PB:9+|RC:0|ER:0,3.581910233569736,48293,0.14428351241715834,47.16832667260265,34.11881639160955,23775,-0.7952839783359235,40.69821240799158,31.856992639327025
13,CB:9+|PB:0|RC:0|ER:0,3.5743325991069024,9227,-0.1374096012580033,44.033813807304654,33.72710523463748,7292,-0.5946174680105218,42.498628634119584,33.51618211738892
14,CB:1-2|PB:0|RC:0|ER:0,3.4263261259115665,7565,0.10484575866274552,46.635822868473234,34.3291473892928,5434,-0.6400955165609928,41.056312108943686,34.22892896577107
