name,a,b,family_a,family_b,disc_n,cal_n,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp,disc_success_imp,cal_success_imp,disc_danger_imp,cal_danger_imp,score
btc1_tsi_d1 LE Q30(-0.211069) & btc4_bb_width GE Q80(0.0942267),btc1_tsi_d1 LE Q30(-0.211069),btc4_bb_width GE Q80(0.0942267),tsi,bb_,155,115,2.014636186729929,1.6187179802955378,2.8212697420227992,3.1002404056804225,13.838218437858202,17.058609060249744,12.79133235085422,15.957980129432137,5.110960922471167
btc4_roc12 LE Q20(-2.18415) & h1_atr_pct_acc GE Q80(0.0723118),btc4_roc12 LE Q20(-2.18415),h1_atr_pct_acc GE Q80(0.0723118),roc,atr,157,132,1.0825157050003111,1.2886653216192117,4.959767032575522,3.914982555548618,-1.5018267645252052,9.581665713741181,-3.193874141851765,8.481036782923582,4.888565974776138
btc1_atr_pct GE Q70(0.804549) & btc1_tsi_d1 LE Q30(-0.211069),btc1_atr_pct GE Q70(0.804549),btc1_tsi_d1 LE Q30(-0.211069),atr,tsi,203,167,1.1390031679737729,2.4497470303945983,3.484395660952936,4.422702887511047,1.5165912330274267,10.393678052699627,0.8097655305777209,9.891851517091602,4.685091876529086
btc1_atr_pct GE Q80(0.907279) & btc1_roc4 LE Q20(-0.189272),btc1_atr_pct GE Q80(0.907279),btc1_roc4 LE Q20(-0.189272),atr,roc,161,131,0.6562063257986124,2.282641266405597,3.7246597841348725,3.7943207057472588,2.5018129079042737,24.42668074959591,0.8097655305777209,24.08941059740426,4.472115807782167
btc1_roc4_d1 LE Q20(-0.766142) & h1_atr_pct_d1 GE Q80(0.0524861),btc1_roc4_d1 LE Q20(-0.766142),h1_atr_pct_d1 GE Q80(0.0524861),roc,atr,179,131,1.4327800206972716,2.3061723572041095,5.063407584856959,3.123213422149308,-1.2491846978419332,16.029734184710414,-2.3825728572914002,14.929105253892814,4.470866444765494
h1_atr_pct_d1 GE Q80(0.0524861) & h4_chop14 LE Q20(41.1434),h1_atr_pct_d1 GE Q80(0.0524861),h4_chop14 LE Q20(41.1434),atr,chop,141,127,1.171873190727793,1.5544245390794744,4.414325591053211,3.6302448277512593,-7.73121647406127,11.341388930157315,-8.714043993231797,10.240759999339701,4.3959006443925785
btc1_atr_pct_d1 GE Q80(0.0207423) & m15_ppo_hist_d3 LE Q20(-0.0662479),btc1_atr_pct_d1 GE Q80(0.0207423),m15_ppo_hist_d3 LE Q20(-0.0662479),atr,ppo,147,111,1.4458002993899775,1.9943562776321593,5.943655206782888,2.8136634091422916,2.5018129079042737,12.632443764519238,0.8097655305777209,11.531814833701631,4.350713406380952
btc1_roc4_acc LE Q20(-1.11272) & h1_atr_pct_d1 GE Q80(0.0524861),btc1_roc4_acc LE Q20(-1.11272),h1_atr_pct_d1 GE Q80(0.0524861),roc,atr,171,140,1.6352876844468438,2.2074737231998545,2.782801406743858,2.8392349313681686,-1.17404339953098,4.17041030248577,-2.2812954552201106,3.0697813716681708,4.33724188010037
btc4_roc4 LE Q20(-0.378217) & m15_ppo_hist_acc GE Q80(0.0753278),btc4_roc4 LE Q20(-0.378217),m15_ppo_hist_acc GE Q80(0.0753278),roc,ppo,151,127,1.5404598982397029,1.6661333359543558,4.7720151015142465,2.6193749524697676,4.015530977913734,12.916192079763611,2.3234836005871813,11.815563148946012,4.326770452058626
btc1_atr_pct GE Q70(0.804549) & btc1_roc4 LE Q20(-0.189272),btc1_atr_pct GE Q70(0.804549),btc1_roc4 LE Q20(-0.189272),atr,roc,206,175,1.0238369275256298,1.3469572593587813,3.1748298797649888,3.827623072751918,2.848553545907045,12.313267445342916,1.156506168580492,12.355495657382455,4.30725353703944
btc1_roc4_d3 LE Q30(-0.481176) & btc4_bb_width GE Q80(0.0942267),btc1_roc4_d3 LE Q30(-0.481176),btc4_bb_width GE Q80(0.0942267),roc,bb_,154,155,1.1277560906627166,1.2950868013125671,2.8710479079500932,2.6014007445238514,11.59272199881336,17.142760532900517,11.19937592018811,16.04213160208291,4.300926013554731
btc1_tsi_d1 LE Q30(-0.211069) & m15_ppo_hist_acc GE Q80(0.0753278),btc1_tsi_d1 LE Q30(-0.211069),m15_ppo_hist_acc GE Q80(0.0753278),tsi,ppo,173,165,1.2869714519596787,1.7904233220263706,3.820393616352108,2.917577758352362,2.419236524749863,12.76348389555936,0.727189147423303,11.662854964741754,4.291670089003002
btc1_bb_width GE Q80(0.0434586) & btc4_roc12 LE Q20(-2.18415),btc1_bb_width GE Q80(0.0434586),btc4_roc12 LE Q20(-2.18415),bb_,roc,146,171,0.9692838583124368,1.2018465987235765,3.51122527814051,3.8786964363313645,-4.053960086224883,16.93147964250248,-5.746007463551443,16.415646033322304,4.243970184595172
