name,a,b,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
m15_kdj_spread GE Q70(1.90944) OR btc1_di_spread_acc GE Q50(-2.44243),m15_kdj_spread GE Q70(1.90944),btc1_di_spread_acc GE Q50(-2.44243),True,1.5983238673333942,62.35194585448392,62.106918238993714,65.9872611464968,66.3157894736842,39.72746331236897,39.850746268656714,38.340486409155936,41.43356643356643,0.5191097378943629,0.6051504759340918,1.0065078235987737,1.211464429751051
m15_er10_d1 GE Q70(0.055889) OR btc1_di_spread_acc GE Q50(-2.44243),m15_er10_d1 GE Q70(0.055889),btc1_di_spread_acc GE Q50(-2.44243),True,1.5942017838779876,64.21319796954315,63.52201257861635,68.02547770700636,66.84210526315789,37.526205450733755,37.3134328358209,37.05293276108726,39.16083916083916,0.43556761323246507,0.4627758995451165,1.2073461403774894,1.0922323169546917
btc1_di_spread_acc GE Q50(-2.44243) OR pre_dd_from_high_2h GE Q60(-0.585504),btc1_di_spread_acc GE Q50(-2.44243),pre_dd_from_high_2h GE Q60(-0.585504),True,1.5385692760413572,66.96277495769881,64.83228511530397,72.48407643312102,69.86842105263158,36.268343815513624,37.46268656716418,37.48211731044349,41.25874125874126,0.33105774044451125,0.6922836135119284,1.106788816850294,1.2554867999145207
btc1_di_spread_acc GE Q50(-2.44243) OR pre_dd_from_high_4h GE Q70(-0.582829),btc1_di_spread_acc GE Q50(-2.44243),pre_dd_from_high_4h GE Q70(-0.582829),True,1.4755669129228268,63.74788494077834,61.268343815513624,69.42675159235668,65.26315789473685,39.62264150943396,39.850746268656714,39.77110157367668,44.230769230769226,0.3583681350980026,0.4847006495367516,1.0599527205952493,1.0373024962403596
btc1_rsi_d3 GE Q70(2.76449) OR pre_dd_from_high_24h GE Q50(-2.00467),btc1_rsi_d3 GE Q70(2.76449),pre_dd_from_high_24h GE Q50(-2.00467),True,1.4469457579461562,63.95939086294417,60.74423480083857,68.40764331210191,66.1842105263158,35.63941299790356,43.582089552238806,44.77825464949928,41.08391608391608,0.3541286589565465,0.3445387567690974,1.013441952193904,1.1431700570091676
m15_ppo_hist_d3 GE Q50(-0.0211379) OR btc1_bb_pctb_d3 GE Q80(0.157098),m15_ppo_hist_d3 GE Q50(-0.0211379),btc1_bb_pctb_d3 GE Q80(0.157098),True,1.4149429299076297,60.40609137055838,60.84905660377359,63.43949044585987,63.026315789473685,41.090146750524106,39.55223880597015,42.77539341917024,39.68531468531469,0.2764132785239793,0.31713528584122275,1.1733491574248323,1.0949844676696485
m15_adx_acc GE Q70(0.476858) OR pre_range_4h LE Q50(2.42148),m15_adx_acc GE Q70(0.476858),pre_range_4h LE Q50(2.42148),True,1.3927361428268892,64.93231810490694,63.102725366876314,69.80891719745223,67.76315789473685,35.9538784067086,38.2089552238806,44.92131616595136,43.18181818181818,0.23631666353402875,0.2458505681967253,1.5181260553579135,1.0632108287356496
m15_er10_d1 GE Q70(0.055889) OR pre_range_4h LE Q50(2.42148),m15_er10_d1 GE Q70(0.055889),pre_range_4h LE Q50(2.42148),True,1.3459847474609234,64.21319796954315,61.111111111111114,68.15286624203821,65.0,36.79245283018868,41.492537313432834,43.63376251788269,44.05594405594406,0.3315579477025595,0.40509313724237866,1.2075289431576923,0.9366490219805862
m15_ppo_hist_d3 GE Q50(-0.0211379) OR btc1_stoch_k_d1 GE Q70(1.25682),m15_ppo_hist_d3 GE Q50(-0.0211379),btc1_stoch_k_d1 GE Q70(1.25682),True,1.2865844389053374,64.08629441624365,62.893081761006286,66.36942675159236,65.26315789473685,36.16352201257861,37.61194029850746,39.19885550786839,39.51048951048951,0.10839684767847185,0.33408001505041274,1.1325249445198913,1.1887033077163867
m15_kdj_spread GE Q80(3.88) OR btc1_di_spread_acc GE Q50(-2.44243),m15_kdj_spread GE Q80(3.88),btc1_di_spread_acc GE Q50(-2.44243),True,1.2741586766402853,57.65651438240271,57.38993710691824,60.25477707006369,61.71052631578947,43.920335429769395,44.32835820895523,43.204577968526465,46.67832167832168,0.43261367793028804,0.47372196853982285,0.7895797449567777,0.9511883521025896
