name,feature,family,side,q,threshold,stable_dev,score,disc_veto,cal_veto,disc_bad_removed,cal_bad_removed,disc_clean_preserved,cal_clean_preserved,disc_delayed_preserved,cal_delayed_preserved,disc_net24_imp,cal_net24_imp,disc_net72_imp,cal_net72_imp
btc4_bb_width LE Q50(0.05643),btc4_bb_width,btc,LE,0.5,0.05642998413761155,True,1.42722870695076,50.0,54.45492662473794,54.77707006369427,59.078947368421055,52.09643605870021,49.701492537313435,56.79542203147353,47.72727272727273,0.20713376165739333,0.3157770213338478,0.6404707040967738,0.7205318350539566
btc1_di_spread_acc GE Q50(-2.44243),btc1_di_spread_acc,btc,GE,0.5,-2.4424294982447217,True,1.282219179364713,50.0,49.21383647798742,52.101910828025474,51.578947368421055,51.46750524109015,50.29850746268657,51.072961373390555,55.59440559440559,0.23397636667809912,0.28845262245887243,0.49934725194571905,0.7164178907126211
btc1_stoch_k_d1 GE Q70(1.25682),btc1_stoch_k_d1,btc,GE,0.7,1.2568221808634832,True,1.2775663222509461,29.991539763113366,31.18448637316562,31.46496815286624,34.868421052631575,69.39203354297693,70.29850746268657,73.53361945636624,72.55244755244755,0.07425100216208873,0.10076400910302818,0.46412434681667747,0.5562840374959054
btc4_cmo_acc GE Q90(32.0256),btc4_cmo_acc,btc,GE,0.9,32.02556984059637,True,1.2036796688251195,10.363790186125211,10.324947589098532,14.64968152866242,13.289473684210526,90.98532494758909,91.04477611940298,92.98998569384835,93.35664335664336,0.09088242976683769,0.0916271080874842,0.18131165889389134,0.13363016394885463
m15_kdj_spread GE Q70(1.90944),m15_kdj_spread,kdj,GE,0.7,1.9094405907806034,True,1.1965588383447627,29.991539763113366,30.765199161425578,32.9936305732484,33.55263157894737,72.11740041928721,71.7910447761194,70.24320457796853,69.4055944055944,0.1702569675500401,0.1665829861214364,0.26824400796432146,0.40475739133706
m15_adx_acc GE Q60(0.326347),m15_adx_acc,adx,GE,0.6,0.32634659381239145,True,1.159676730954482,40.01692047377327,42.81970649895178,40.76433121019109,45.921052631578945,59.64360587002096,55.223880597014926,61.80257510729614,60.48951048951049,0.12919706424183294,0.05115503621811812,0.5477923005576183,0.5150065245753803
btc4_cmo_acc GE Q80(25.2725),btc4_cmo_acc,btc,GE,0.8,25.272493725165138,True,1.1423107952669984,20.21996615905245,15.985324947589099,23.439490445859875,19.078947368421055,82.49475890985325,85.5223880597015,80.11444921316166,88.2867132867133,0.10934194433230587,0.14018092005484306,0.15805036190297883,0.19535844794804835
btc1_donch_pos_d3 GE Q90(0.212789),btc1_donch_pos_d3,btc,GE,0.9,0.212788833438704,True,1.138436298486552,10.109983079526225,13.20754716981132,10.191082802547772,14.473684210526317,88.57442348008385,87.76119402985074,92.84692417739629,85.66433566433567,0.07813391947938557,0.07902478595129969,0.19155273607580325,0.24363202156848163
btc1_stoch_spread_d1 GE Q90(3.01605),btc1_stoch_spread_d1,btc,GE,0.9,3.016054801549224,True,1.135461921452487,10.109983079526225,10.482180293501047,11.974522292993631,10.921052631578949,90.56603773584906,88.50746268656717,91.55937052932761,93.35664335664336,0.056003726696778985,0.04847482559687766,0.17787548301457756,0.2343828096528041
btc1_bb_pctb_d3 GE Q80(0.157098),btc1_bb_pctb_d3,btc,GE,0.8,0.1570983209402475,True,1.1216963543948364,20.21996615905245,25.052410901467503,21.656050955414013,26.710526315789473,79.76939203354297,77.01492537313432,82.689556509299,73.25174825174825,0.1801119260103547,0.033064284122633514,0.36181856763913733,0.3085770062205587
m15_adx_acc GE Q80(0.667864),m15_adx_acc,adx,GE,0.8,0.6678636560653175,True,1.1167389342063094,20.008460236886634,22.48427672955975,20.50955414012739,24.07894736842105,78.72117400419287,75.3731343283582,82.26037195994277,81.64335664335664,0.016600579919953895,0.06445224391295912,0.3147536889450798,0.3050340213629663
m15_ppo_hist_d3 GE Q50(-0.0211379),m15_ppo_hist_d3,ppo,GE,0.5,-0.02113792125090605,True,1.1138184981955408,50.0,49.10901467505241,53.2484076433121,50.6578947368421,51.886792452830186,50.8955223880597,53.0758226037196,52.7972027972028,0.046692936646862034,0.26668425046881816,0.6318958201528327,0.5176843343865722
m15_chop14_acc LE Q10(-4.08654),m15_chop14_acc,chop,LE,0.1,-4.086541960742319,True,1.1114228733911329,10.025380710659897,10.377358490566039,11.337579617834395,11.710526315789474,91.50943396226415,90.74626865671642,89.9856938483548,88.46153846153845,0.05921653817979795,0.06283121484113785,0.1299233214765707,0.21219801025712337
h4_chop14 GE Q50(50.0109),h4_chop14,chop,GE,0.5,50.01088290583971,True,1.1072653964006687,50.0,48.37526205450734,51.0828025477707,50.921052631578945,48.84696016771489,50.29850746268657,52.78969957081545,56.993006993006986,0.06215044751780212,0.11915887413193893,0.5152755992348009,0.7836139216108314
btc1_stoch_spread_d1 GE Q70(-1.83159),btc1_stoch_spread_d1,btc,GE,0.7,-1.8315883932217965,True,1.0976805000302188,30.076142131979694,30.50314465408805,30.573248407643312,32.89473684210527,69.28721174004193,71.04477611940298,70.52932761087267,71.85314685314685,0.15810680950889475,0.0982832362987407,0.2903724414636327,0.5322508793208317
pre_dd_from_high_4h GE Q70(-0.582829),pre_dd_from_high_4h,pre_,GE,0.7,-0.582829027953108,True,1.0938200386658605,29.991539763113366,25.57651991614256,34.14012738853503,28.815789473684212,73.58490566037736,77.31343283582089,73.10443490701002,78.14685314685315,0.07765474000713167,0.09772200167390876,0.2610358995830694,0.21793320467095878
btc1_bb_pctb_d3 GE Q90(0.254743),btc1_bb_pctb_d3,btc,GE,0.9,0.2547432700812537,True,1.0891323212501915,10.067681895093063,13.574423480083858,10.318471337579618,16.18421052631579,89.20335429769392,89.40298507462686,92.13161659513591,86.36363636363636,0.043272061664269876,0.08503907859420301,0.16300951742953906,0.3747042215824801
h4_chop14 GE Q80(58.1804),h4_chop14,chop,GE,0.8,58.18042844801745,True,1.0868619502340866,20.008460236886634,18.448637316561843,22.802547770700638,19.86842105263158,80.60796645702307,82.08955223880598,81.97424892703863,84.26573426573427,0.029504563827927002,0.022593840858309622,0.23213202620348639,0.22296135773407377
m15_kdj_spread GE Q80(3.88),m15_kdj_spread,kdj,GE,0.8,3.879998174501581,True,1.07958390138429,20.008460236886634,20.07337526205451,22.038216560509554,22.36842105263158,81.65618448637316,81.7910447761194,80.4005722460658,80.06993006993007,0.1312118284689229,0.07607712211352036,0.21924968950931178,0.15428108001679508
pre_dd_from_high_2h GE Q60(-0.585504),pre_dd_from_high_2h,pre_,GE,0.6,-0.5855042954030432,True,1.0753378009155785,40.01692047377327,34.90566037735849,43.94904458598726,39.078947368421055,63.52201257861635,69.70149253731344,64.66380543633763,69.05594405594405,0.06148290783438352,0.2375843892321669,0.29428332076214525,0.3870634072766176
m15_er10_d1 GE Q80(0.107262),m15_er10_d1,er10,GE,0.8,0.10726245847176218,True,1.0729953692380716,20.008460236886634,21.278825995807125,21.40127388535032,23.684210526315788,79.66457023060796,82.53731343283583,80.54363376251789,75.87412587412588,0.10225032047580751,0.1808958883235905,0.16519529526932109,0.19411904958830872
m15_adx_d3 LE Q30(-2.25983),m15_adx_d3,adx,LE,0.3,-2.25982863252394,True,1.0654220064648545,29.991539763113366,26.781970649895175,30.445859872611464,27.500000000000004,70.12578616352201,71.34328358208955,69.67095851216023,78.32167832167832,0.1146276253796254,0.13971736043318672,0.3034900421299943,0.24272425551685595
m15_ppo_hist_d3 GE Q80(0.0158154),m15_ppo_hist_d3,ppo,GE,0.8,0.01581541535505864,True,1.0613043932828512,20.008460236886634,20.230607966457022,21.40127388535032,21.31578947368421,81.65618448637316,80.44776119402985,78.2546494992847,79.1958041958042,0.05004298904274608,0.07505285471685574,0.19604572062898862,0.24560746521330978
h4_macd_hist GE Q80(0.00320368),h4_macd_hist,macd,GE,0.8,0.0032036847446480425,True,1.0593720949855197,20.008460236886634,15.041928721174006,22.038216560509554,17.36842105263158,80.81761006289308,86.86567164179104,81.83118741058655,84.44055944055944,0.026450932878169915,0.04851428030327842,0.1790820482674932,0.18430961796358858
m15_adx_acc GE Q70(0.476858),m15_adx_acc,adx,GE,0.7,0.4768577511493017,True,1.0593537396738362,29.991539763113366,33.542976939203356,31.0828025477707,36.18421052631579,69.60167714884696,64.32835820895522,71.95994277539342,70.1048951048951,0.022061423457571637,0.11055153144679153,0.43486164645425174,0.34330079395386626
m15_ppo_hist_d3 GE Q60(-0.00980363),m15_ppo_hist_d3,ppo,GE,0.6,-0.009803633434756744,True,1.0514252601945198,40.01692047377327,39.15094339622642,42.675159235668794,41.18421052631579,61.740041928721176,62.089552238805965,61.945636623748214,60.83916083916085,0.053823210324335485,0.15215285913130705,0.4413228826018486,0.3440406934289867
m15_er10_d3 GE Q90(0.216841),m15_er10_d3,er10,GE,0.9,0.21684125871665288,True,1.0492203841973735,10.025380710659897,11.373165618448636,10.70063694267516,13.815789473684212,89.83228511530397,91.34328358208955,90.41487839771102,88.46153846153845,0.062324032833005305,0.13671959348752705,0.10057952995159825,0.08192210883985074
h4_donch_pos_d3 LE Q30(0.0363804),h4_donch_pos_d3,donch,LE,0.3,0.036380434560431864,True,1.0435705111779452,29.991539763113366,29.297693920335433,30.19108280254777,34.078947368421055,69.07756813417191,76.4179104477612,70.81545064377683,69.58041958041959,0.02521070612115473,0.2845811491984001,0.321079005695145,0.34733544348643075
m15_ema20_50_spread_d1 GE Q90(0.0565935),m15_ema20_50_spread_d1,ema,GE,0.9,0.056593547442121965,True,1.034941076247378,10.025380710659897,12.78825995807128,10.063694267515924,14.210526315789473,90.98532494758909,88.95522388059702,86.69527896995707,86.18881118881119,0.08110595702672715,0.05269577610619358,0.10575885365702298,0.11263523209435933
m15_chop14 GE Q60(55.1317),m15_chop14,chop,GE,0.6,55.1316821725321,True,1.0345806005484874,40.01692047377327,40.88050314465409,41.52866242038217,42.76315789473684,60.167714884696025,58.507462686567166,62.231759656652365,61.18881118881119,0.0961190563313227,0.25733369403971185,0.30974533590809494,0.40786379531233624
m15_er10_d1 GE Q70(0.055889),m15_er10_d1,er10,GE,0.7,0.0558889967768495,True,1.0343778948991693,29.991539763113366,30.29350104821803,30.318471337579616,33.28947368421053,69.70649895178197,72.98507462686568,69.67095851216023,68.53146853146853,0.047556147809323115,0.24305889077874915,0.28909327818426866,0.3545615536037241
pre_dd_from_high_24h GE Q50(-2.00467),pre_dd_from_high_24h,pre_,GE,0.5,-2.0046657718920335,True,1.032905208738698,50.0,43.0293501048218,54.64968152866242,47.5,49.895178197064986,60.447761194029844,58.941344778254646,61.18881118881119,0.023910266584234556,0.13227165881655245,0.3753993293743013,0.43340352498241386
