candidate,strong_rise_anchors,covered,coverage_pct,median_lead_h
CTX2+trig4,201,112,55.72139303482587,2.625
CTX2+trig4+H1recent2h,201,62,30.845771144278608,2.75
CTX2+trig4+H1recent4h,201,94,46.766169154228855,2.75
H4turn16h+H1turn4h+trig4,201,112,55.72139303482587,2.5
CTX2+trig4s,201,112,55.72139303482587,2.75
CTX2+trig4s+H1recent2h,201,59,29.35323383084577,2.75
CTX2+trig4s+H1recent4h,201,91,45.27363184079602,2.75
H4turn16h+H1turn4h+trig4s,201,109,54.22885572139303,2.5
CTX2+trig5,201,108,53.73134328358209,2.75
CTX2+trig5+H1recent2h,201,54,26.865671641791046,2.75
CTX2+trig5+H1recent4h,201,86,42.78606965174129,3.0
H4turn16h+H1turn4h+trig5,201,103,51.243781094527364,2.75
CTX2+trig5s,201,105,52.23880597014925,2.75
CTX2+trig5s+H1recent2h,201,50,24.875621890547265,2.75
CTX2+trig5s+H1recent4h,201,83,41.29353233830846,3.0
H4turn16h+H1turn4h+trig5s,201,100,49.75124378109453,2.625
CTX3+trig4,201,94,46.766169154228855,2.625
CTX3+trig4+H1recent2h,201,52,25.870646766169155,2.75
CTX3+trig4+H1recent4h,201,76,37.81094527363184,2.75
CTX3+trig4s,201,93,46.26865671641791,2.75
CTX3+trig4s+H1recent2h,201,49,24.378109452736318,2.75
CTX3+trig4s+H1recent4h,201,73,36.318407960199,2.75
CTX3+trig5,201,91,45.27363184079602,2.75
CTX3+trig5+H1recent2h,201,46,22.885572139303484,2.625
CTX3+trig5+H1recent4h,201,70,34.82587064676617,2.875
CTX3+trig5s,201,89,44.27860696517413,2.75
CTX3+trig5s+H1recent2h,201,43,21.393034825870647,2.75
CTX3+trig5s+H1recent4h,201,67,33.333333333333336,2.75
CTX4+trig4,201,83,41.29353233830846,2.75
CTX4+trig4+H1recent2h,201,45,22.388059701492537,2.5
CTX4+trig4+H1recent4h,201,65,32.33830845771144,2.75
CTX4+trig4s,201,82,40.79601990049751,2.75
CTX4+trig4s+H1recent2h,201,42,20.895522388059703,2.5
CTX4+trig4s+H1recent4h,201,63,31.34328358208955,2.75
CTX4+trig5,201,80,39.80099502487562,2.75
CTX4+trig5+H1recent2h,201,40,19.90049751243781,2.375
CTX4+trig5+H1recent4h,201,61,30.34825870646766,3.0
CTX4+trig5s,201,78,38.80597014925373,2.75
CTX4+trig5s+H1recent2h,201,37,18.407960199004975,2.5
CTX4+trig5s+H1recent4h,201,59,29.35323383084577,3.0
trig4s_then_H1turn4_entryH1,201,53,26.3681592039801,3.0
trig5s_then_H1turn4_entryH1,201,53,26.3681592039801,3.0
