time,open,high,low,close,motion_pos,motion_net,structure,M15_RSI_P4,M15_MACD_P4,M15_KDJ_P4,M15_WPR_P4,M15_OBV_P4,M15_STOCH_P4,H1_RSI_P4,H1_MACD_P4,H1_KDJ_P4,H1_WPR_P4,H1_OBV_P4,H1_STOCH_P4,H4_RSI_P3,H4_MACD_P3,H4_KDJ_P3,H4_WPR_P3,H4_OBV_P3,H4_STOCH_P3,S_SWEEP,S_ENGULF,S_RECLAIM,S_HLHH,ret_3h,mfe_3h,mae_3h,ret_6h,mfe_6h,mae_6h,ret_12h,mfe_12h,mae_12h,ret_24h,mfe_24h,mae_24h
2026-01-02 02:45:00+00:00,88488.85,88643.38,88472.49,88637.03,5,5,True,--0+,---0,--++,--0+,--0+,++++,++0-,+++0,++0-,+00-,++0-,++0-,+++,+++,+++,-++,+++,0++,N,N,Y,Y,0.14460096417940882,0.5448964163171865,-0.0715163854204004,0.6104672054106475,0.6351408660691726,-0.0715163854204004,1.0638555917318104,1.6900047305285382,-0.19976978019231595,1.9212850430570638,2.6228089998051596,-0.19976978019231595
2026-01-05 05:00:00+00:00,92595.07,92715.19,92574.0,92647.29,5,5,True,--0+,---0,00++,--0+,--0+,0+++,++0-,+++0,----,00--,++0-,+0--,-++,--+,-++,-+0,-++,-0+,N,N,Y,Y,0.009012675923925073,0.07926837363509964,-0.531359309052637,0.2646380698237527,0.5436856275019109,-0.531359309052637,1.1080410446975941,1.5424736114785675,-0.531359309052637,1.1778865847020592,2.3117675649228397,-0.531359309052637
2026-01-26 10:00:00+00:00,87663.12,87912.0,87660.0,87842.47,4,4,True,---+,---0,-00+,---+,---0,00++,++0-,+++-,00--,++0-,++0-,+---,00+,-0+,+++,0++,0++,+++,N,Y,Y,Y,-0.014378011000837354,0.15656435890292197,-0.183362330316994,-0.49205128225560113,1.1583576827928432,-0.6386090919346832,0.2958591669838029,1.1583576827928432,-0.918644478007058,0.1703617851364969,1.3291179084558902,-0.918644478007058
2026-02-19 10:30:00+00:00,66871.21,66958.4,66807.01,66958.3,5,5,True,-0-+,---0,--0+,-0-+,-0-+,--0+,++0-,++0-,00--,++0-,++0-,++--,00+,-0+,-++,0++,+0+,+++,N,N,Y,N,-1.4825794561689976,0.0,-1.5421538479919672,-0.8097427802079782,0.0,-1.9810389451345056,-0.15778477052136308,0.3581333456793345,-1.9810389451345056,1.7982087358848764,2.03124929993741,-1.9810389451345056
2026-03-17 21:30:00+00:00,74554.87,74799.0,74496.79,74736.93,6,6,True,0+-+,-0-+,-+-+,00-+,-+0+,+0-+,++0-,++++,++--,++0-,++0-,++0-,--0,---,--+,--+,--0,-00,N,Y,Y,N,-1.3592075564249018,0.06833301822808391,-1.6077326162581063,-0.3297432741751427,0.06833301822808391,-1.6077326162581063,-0.6538668366495526,0.06833301822808391,-1.6077326162581063,-4.565119279049846,0.06833301822808391,-5.669125022930421
2026-03-18 06:00:00+00:00,73950.01,74101.43,73942.0,74094.02,4,4,True,---+,---0,-0++,--0+,---0,0+-+,++0-,0+0-,++--,++0-,++0-,++0-,0-+,---,+-+,+-+,0-+,0-0,N,N,Y,Y,0.10604094635435768,0.17788210168647733,-0.5317703102085791,-1.8119410986203843,0.2528004284286345,-1.9582417042563027,-2.985139691435279,0.2528004284286345,-4.3685171893764085,-4.352024630327811,0.2528004284286345,-4.850620873317446
2026-03-20 07:15:00+00:00,70274.01,70548.56,70261.91,70451.32,5,5,True,-0-+,---0,++0+,00-+,-0-+,0+-+,++0-,++0-,+---,+0--,++0-,00--,+0+,+++,+++,+0+,0-+,+++,N,N,N,Y,-0.17920175235893732,1.2997343413863494,-0.3302138270794841,0.06288029805543438,1.2997343413863494,-0.3302138270794841,-0.8157263767378686,1.2997343413863494,-1.5092974837093265,0.6027140442506962,1.2997343413863494,-1.5092974837093265
2026-03-25 08:15:00+00:00,70811.41,71250.0,70811.41,71192.19,4,4,True,0--+,---0,---+,---+,---0,+-0+,++0-,++0-,+---,+00-,++0-,++0-,0++,00+,+++,0++,0++,0++,N,Y,Y,Y,0.9524780737887095,1.038470652469048,-0.12669929103178434,0.24450715731598738,1.1713363502372953,-0.12669929103178434,-0.6761134894150533,1.1713363502372953,-0.9294839785094378,-1.9178367739495106,1.1713363502372953,-1.948514296301329
2026-03-31 05:30:00+00:00,67614.0,67715.45,67570.0,67673.56,5,5,True,--0+,--00,0-++,--0+,-00+,++++,++0-,+++0,++--,++0-,++0-,++0-,-0+,0-0,--+,-00,-0+,--+,N,N,Y,Y,-1.227569526414729,0.15778688161225407,-1.2866915823550595,-1.3934984357258595,0.15778688161225407,-2.4758709309810167,0.058028571276591556,1.353453254121706,-2.4758709309810167,1.2328448510762424,1.5987780161114573,-2.4758709309810167
2026-04-06 13:15:00+00:00,69410.02,69483.41,69330.0,69474.58,4,4,True,0-00,---0,+0++,--0+,0-++,+-++,++0-,00--,++--,0+--,++0-,++--,+0+,+++,+0-,00-,+0+,0--,N,N,Y,N,0.6227601519865233,0.9146079040708077,-0.44724271812798255,0.5360665728385783,1.262159483367875,-0.44724271812798255,-1.074565690069662,1.262159483367875,-1.6906615340459785,-1.4288103648845474,1.262159483367875,-2.018896695741079
2026-04-09 12:00:00+00:00,71150.17,71249.03,71150.16,71200.96,5,5,True,-0-+,---0,-+++,-0-+,-0-+,-0++,++0-,+++0,++--,++00,++0-,++0-,--+,---,---,--+,--0,00+,N,Y,N,Y,0.1932979555331782,0.23239855192962455,-0.952501202230982,0.9735402444011942,1.8946935546936272,-0.952501202230982,0.8638085778618576,2.730356444632198,-0.952501202230982,1.2553763320044986,2.730356444632198,-0.952501202230982
2026-04-25 06:00:00+00:00,77510.27,77555.97,77510.27,77540.0,5,5,True,-00+,---0,-+0+,-00+,000+,00++,++0-,+++0,++0-,++00,++0-,++0-,--0,---,--+,--0,--0,+-+,N,Y,N,N,0.11465050296619594,0.15482331699767649,-0.11606912561258342,0.19983234459632904,0.445383028114521,-0.11606912561258342,-0.3348594273923089,0.445383028114521,-0.5155661594016037,0.612896569512511,0.8511735878256488,-0.5155661594016037
2026-04-28 03:45:00+00:00,76800.42,76842.84,76786.81,76815.18,6,6,True,-00+,--0+,0+++,000+,--0+,++-+,++0-,+++0,++--,++0-,++0-,++--,-00,--0,-0+,-0+,-++,-++,N,N,N,Y,-0.1239078005154659,0.441084691853888,-0.2957488350609827,-0.2827305748681397,0.441084691853888,-0.5080766588062446,-0.9748073232400012,0.441084691853888,-1.4952513292294412,0.23380795306344737,0.441084691853888,-1.4952513292294412
2026-05-02 18:30:00+00:00,78391.92,78454.64,78391.91,78411.5,5,5,True,--0+,--00,--++,--0+,--0+,0+++,++0-,+++0,++--,++0-,++0-,++0-,--0,---,--+,--+,--0,--0,N,N,Y,Y,0.5039821964890168,1.0049291239167646,-1.275323134874995e-05,0.28270087933530696,1.0049291239167646,-1.275323134874995e-05,-0.346250231152323,1.0049291239167646,-0.4175663008614827,0.3513260172296029,1.0049291239167646,-0.4175663008614827
2026-05-19 10:15:00+00:00,76805.21,76837.55,76752.41,76837.54,5,5,True,000+,---0,++++,000+,0+0+,++++,++0-,++0-,++--,++0-,++0-,00--,+0+,+++,+-+,+0+,00+,0++,N,Y,N,N,-0.30783130225147115,0.346744573030322,-0.3078443167233047,-0.29352839770767636,0.346744573030322,-0.9016816519633375,-0.2168991875585724,0.346744573030322,-0.9016816519633375,1.033283991132472,1.0655078233894555,-0.9016816519633375
2026-06-06 00:00:00+00:00,61056.47,61462.0,61045.01,61425.56,5,5,True,--0+,---0,-+++,--0+,--0+,--0+,++0-,++++,+++-,++0-,++0-,++0-,--+,--0,-++,-0+,--0,--+,N,N,Y,Y,-0.8977858728516308,0.17010833926462965,-1.2170178017099076,-0.44525438595920397,0.17010833926462965,-3.1347862355670775,-0.6127416664984398,0.17010833926462965,-3.1347862355670775,-0.9997466852560977,0.17010833926462965,-3.1347862355670775
