feature,importance
h4_stoch_spread_d3,0.1010055971741284
price_ret_1h,0.06827127341390045
price_accel_1h,0.05411716164778976
h4_wpr_d3,0.040077540825852374
h1_rsi_d1,0.029878720165342394
h1_macd_hist_d3,0.026843213254256145
price_accel_4h,0.026540155894715867
price_ret_4h,0.02501482719086715
m15_stoch_k_d1,0.02317025991353577
price_ret_12h,0.02235823956902346
h4_rsi_d1,0.021019077075215425
h1_stoch_spread_d3,0.020062392346474296
h4_body_frac,0.019944056474889293
h4_wpr_d1,0.019233066831622087
m15_rsi_d3,0.01778962658720397
h1_macd_hist_d1,0.01772665299890929
h4_kdj_spread_d1,0.01767768171679001
h4_macd_hist_d1,0.01646896061236477
h4_kdj_spread_d3,0.015765629744845175
m15_obv_d3_norm,0.015671576881430314
h1_rsi_d3,0.014819597828206816
h4_lower_wick,0.014394429244528118
h4_stoch_spread_d1,0.01405904695476498
m15_stoch_spread_d3,0.013733778560751447
m15_range_rel,0.013665085634814526
m15_body_frac,0.01301956514056372
h4_kdj_j_d3,0.012011586317732036
h1_wpr_d3,0.011985856535478805
h1_body_frac,0.011975513533286198
h4_stoch_k_d1,0.011767260108208668
h4_kdj_j_d1,0.011658696856283842
m15_kdj_spread_d3,0.0106253242130554
m15_close_loc,0.010513425386723632
m15_wpr_d1,0.010165832511732588
h4_macd_hist_d3,0.009966009454103761
m15_wpr_d3,0.009771505613680941
h4_rsi_d3,0.009412292109053552
h1_wpr_d1,0.009120176255405552
m15_macd_hist_d3,0.009102037885612792
m15_stoch_spread_d1,0.008829442497636819
h1_lower_wick,0.008615743181486054
m15_kdj_j_d3,0.008401392351538656
h4_stoch_k_d3,0.007741207842009848
m15_rsi_d1,0.007361388174222659
m15_kdj_j_d1,0.00719643645289796
h1_net_rise,0.0069273592730743575
m15_lower_wick,0.006689961433900276
bars_since_h4turn,0.00666431845288755
h1_kdj_j_d3,0.0066424574101119835
m15_macd_hist_d1,0.006611208199421711
h1_kdj_spread_d1,0.006298076708737434
m15_kdj_spread_d1,0.006220642817662093
h1_stoch_spread_d1,0.006109789333586738
m15_obv_d1_norm,0.005904537410396021
h1_kdj_spread_d3,0.005852005539003056
h4_close_loc,0.005506231264030557
m15_stoch_k_d3,0.005015478550957979
h1_stoch_k_d3,0.004945839962225196
h4_net_rise,0.004939174839176837
h1_stoch_k_d1,0.004612526753181499
h1_kdj_j_d1,0.004568957444041793
m15_net_rise,0.003990408915574762
bars_since_h1turn,0.003923024085880318
m15_volume_rel,0.0038959749855928824
h4_motion_rise,0.0036257042016842713
h1_close_loc,0.002889298442250704
h1_motion_rise,0.002883845228752276
m15_motion_rise,0.002403765018051871
h4_turn5,0.0023849720517372676
h4_structure,0.0019939354112789237
h1_motion_net,0.0015876106066133706
h4_hammer,0.0015092559969628156
h1_motion_pos,0.0009567730290109172
m15_motion_net,0.0006695084937854632
m15_reclaim_prev_high,0.0006600094735629481
h4_motion_pos,0.0006300091751158445
h1_structure,0.0005146638361822184
h4_motion_net,0.0004750023050267195
m15_bull_engulf,0.0003542202360561481
h1_turn5,0.0003183405566700977
h4_higher_high,0.0002961798336812044
h1_higher_high,0.0002903871553629327
h4_turn4,0.00024502413066339557
h1_reclaim_prev_high,0.00022025381046796515
m15_higher_low,0.00020846202763666788
h1_bull_engulf,0.00019810975545529245
h4_bull_engulf,0.00018387873560988114
h1_higher_low,0.0001342498090646127
m15_hammer,0.00010400620649357326
h4_sweep_reclaim,8.904428085656654e-05
m15_higher_high,8.825951337561681e-05
h4_reclaim_prev_high,8.296059970753582e-05
m15_motion_pos,7.835718386293357e-05
h4_higher_low,5.759855264133044e-05
m15_sweep_reclaim,0.0
h1_sweep_reclaim,0.0
h1_turn4,0.0
h1_hammer,0.0
