feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
h4_bb_width,0.14503589171937054,0.05169666331379587,0.1170591914841289,0.0437414206443811,0.8846259700055465,57755,6749
h1_atr_pct,1.7822134229274667,0.6856250015009715,1.548785606730865,0.6641129867068238,0.8823234803600906,57889,6749
h1_bb_width,0.07181983102483616,0.024283244492246586,0.0572143492066263,0.0205880369538762,0.8711481139515314,57884,6749
h4_atr_pct,3.6902990219245493,1.504356259309688,3.2237620383123167,1.466274184512809,0.8169063161560692,57809,6749
pre_dd_from_high_24h,-5.359310547107305,-1.7046738544359699,-4.192922927775089,-1.2903225806451646,-0.8053878604046879,57881,6749
pre_dd_from_high_48h,-7.512202138829067,-2.7553631580057356,-6.055900621118015,-2.2104332449160102,-0.8022325133327812,57826,6749
pre_dd_from_high_12h,-4.1163929643341906,-1.2052365419218944,-3.1399796729616734,-0.9216589861751224,-0.7803315045353929,57894,6749
pre_dd_from_high_8h,-3.4817203962196372,-0.9834327388597648,-2.57452574525745,-0.7493755203996755,-0.7549934222568448,57903,6749
pre_dd_from_high_4h,-2.6048714520674743,-0.6978718076235543,-1.8968358409797994,-0.5263157894736858,-0.7268675625139197,57910,6749
m15_atr_pct,0.8805906860434334,0.33218738128911696,0.7363224741214232,0.3129533123594298,0.6978916066902534,57910,6749
pre_dd_from_high_2h,-1.9039477108887772,-0.5008081678195327,-1.3770683438762532,-0.3824091778202532,-0.6880054757694021,57922,6749
pre_dd_from_high_1h,-1.36704775201278,-0.36678787951214326,-0.9855951478392688,-0.2868068833651982,-0.6474128164675949,57934,6749
h4_adx,27.322644484977516,20.303755288719675,25.140276053506504,18.710511659553674,0.6374189856845784,57694,6749
m15_bb_width,0.039709774414718325,0.012963636697408723,0.02934328374186505,0.0108633867793624,0.6164043000783445,57908,6749
btc1_atr_pct,0.6434177445458457,0.47148985766582924,0.5826693420906061,0.449771867246708,0.580572586674044,57935,6749
btc4_adx,26.576418117051404,21.074132115721373,24.37590640755844,17.909980912896284,0.49379313419074966,57935,6749
btc4_atr_pct,1.300933287514812,1.0699644391168108,1.1904209277112576,1.041290229349095,0.4885418523453525,57935,6749
h4_chop14,49.44092224942927,54.009730446383365,49.890340747304336,54.30921595085674,-0.4469106917505125,57809,6749
btc4_bb_width,0.055806842123608806,0.0418706028856398,0.0481600613828352,0.0360355304259286,0.4409476163658714,57935,6749
h1_chop14,49.17664816182961,53.750451210217896,49.51655511888507,54.378679431664345,-0.43253323707587693,57889,6749
btc1_bb_width,0.028389735009628318,0.020172851728352672,0.023056303845059,0.0174256506199435,0.4199680417374253,57935,6749
m15_bb_pctb,0.35771476900778704,0.5012535258727508,0.292057082884427,0.5,-0.40795162581789174,57908,6749
m15_wpr,-61.49889574999142,-49.52982834806347,-68.44383329026533,-49.99999999999971,-0.40561438380474746,57910,6749
m15_donch_pos,0.3833864872396583,0.5016176536862699,0.31250000000000033,0.5,-0.40121179588351663,57908,6749
h1_stoch_raw,37.937681518440506,52.21701210830855,28.16004470442314,53.4373261153534,-0.3926467990422673,57864,6749
m15_kdj_k,41.381954408713796,50.07385187526527,36.95071950919531,49.88728951142377,-0.37877039867743123,57916,6749
m15_chop14,47.88725346348681,51.89450776087596,48.16966335174071,52.32479643160506,-0.3647814363260867,57910,6749
