feature,rise_mean,control_mean,rise_median,control_median,std_effect,n_rise,n_control
btc4_atr_pct,1.4717851357594856,0.9864202825405259,1.3950861315763634,0.9529880233320712,1.0197137199975455,75762,21308
btc1_atr_pct,0.7208690118680706,0.4364135655541827,0.6680712338019368,0.4252769349743637,0.9575329842309358,75762,21308
h4_bb_width,0.13510137295526198,0.049226400749129616,0.10850239734293796,0.0406132634050812,0.9148671534788336,75594,21308
h1_bb_width,0.066364513860224,0.022753837451585105,0.0524064789066765,0.0191344314426993,0.9074959534570435,75714,21308
h1_atr_pct,1.688022566393686,0.670199758373304,1.4629326779558378,0.6374569852919851,0.8674463435731694,75719,21308
h4_atr_pct,3.4609178286057927,1.500160311483129,3.0535161105285242,1.445900468143671,0.8535407823677773,75642,21308
pre_dd_from_high_12h,-3.7121941446830755,-1.106624603607783,-2.749039314218149,-0.8814347832498792,-0.8500620053918712,75721,21308
pre_dd_from_high_24h,-4.799175229043003,-1.6429002204218883,-3.679391161731094,-1.2830113192274561,-0.8391977069684589,75712,21308
pre_dd_from_high_8h,-3.1319923863790486,-0.8927116051553492,-2.26482849364133,-0.7084367069188635,-0.8383735392646204,75726,21308
pre_dd_from_high_48h,-6.562297883033174,-2.5524605964981535,-5.221518987341778,-1.9973620715954152,-0.8234200167365892,75663,21308
pre_dd_from_high_4h,-2.3741908897619495,-0.6311780174253256,-1.6627078384798266,-0.5040322580645129,-0.8183643296294508,75739,21308
m15_bb_width,0.03623910393750088,0.012257129772098295,0.0270802808312011,0.0102392050780879,0.7948093529882709,75737,21308
pre_dd_from_high_2h,-1.790099797378668,-0.45275116900415774,-1.2232415902140636,-0.3539329459574802,-0.7729960013829499,75751,21308
m15_atr_pct,0.8342932103132955,0.3220079577228818,0.6974537334913211,0.2911913380138653,0.7333303418861039,75740,21308
pre_dd_from_high_1h,-1.3286542611716206,-0.33320120413185134,-0.88175090779819,-0.2634798178971886,-0.7137375064316243,75762,21308
btc4_bb_width,0.06482065115040592,0.0370788789034725,0.0547697624074377,0.0326640704079984,0.6928266486955298,75762,21308
btc1_bb_width,0.030190965451558076,0.016765645704587107,0.02371915870716405,0.0128006510897895,0.6193956666237448,75762,21308
pre_bounce_from_low_48h,6.074434806718053,1.762735498805807,4.164398475775721,1.617663811936254,0.5958248683520951,75663,21308
pre_bounce_from_low_1h,0.9965188254090548,0.3715537077007646,0.6628003314001596,0.2898550724637738,0.568574542136317,75762,21308
pre_bounce_from_low_24h,4.041627493967541,1.3973022554364432,2.6447734254413158,1.2380350706166943,0.5405265648815492,75712,21308
btc4_adx,29.78453872739717,23.27816413712164,26.82881337415457,21.98238970328738,0.5392437695426081,75762,21308
pre_bounce_from_low_12h,2.810140312585745,1.0651192952846318,1.779801324503305,0.9090909090909038,0.4831978240075753,75721,21308
h4_mfi,51.34888717043607,43.14750547370045,51.916640375904834,42.870824383555465,0.45777241351176845,75635,21308
h4_chop14,49.77446717766125,54.24026228949723,50.09628819743915,54.90720817211509,-0.44904565215681913,75642,21308
h1_chop14,49.23875509124052,53.7790178755343,49.57933165601279,54.07674701209352,-0.4383274335315354,75719,21308
pre_bounce_from_low_8h,2.300130149135703,0.9040362646659806,1.4482054950055059,0.754181271170673,0.43306134998435303,75726,21308
h4_tsi,-0.21159415635531134,-8.619234341233636,0.14709694623550051,-8.364326759836494,0.42868395648354635,75730,21308
h4_cmo,-1.1239305343676276,-15.013231289214966,-0.8695652173912078,-15.107913669064656,0.4269286798017119,75633,21308
h4_rsi,49.453382550367024,44.838151040360174,49.483677670430566,45.203211557003556,0.4050236158869893,75633,21308
h4_adx,27.91763544297872,23.63370396814552,25.61348771842458,21.61025632115928,0.37937053012935723,75534,21308
h4_di_spread,0.8562311946753284,-4.425346635917098,1.1226230208571906,-4.045312411076253,0.36963575786371544,75642,21308
pre_bounce_from_low_4h,1.67210529381776,0.6715172627784637,1.0752688172043,0.5442423703879262,0.36381228201042276,75739,21308
btc4_kdj_d,53.50245829570397,47.219176134099946,53.50627893397629,46.46015740593566,0.36348565265472005,75762,21308
btc4_cmf,0.0425051373602123,-0.0022192502524086936,0.0432479047529619,-0.0029731535999657,0.3623094952429579,75762,21308
h4_bb_pctb,0.48935121925725567,0.36978848217125054,0.4858695201304172,0.331427644640945,0.3616452475086316,75594,21308
h1_stoch_raw,39.86009999920752,52.888869290814064,32.31342711322758,54.298618380587975,-0.3600616012188489,75695,21308
h4_donch_pos,0.4731238253848158,0.38291060867670235,0.4666666666666666,0.3428571428571428,0.3343800411923769,75594,21308
pre_ret_1h,-0.5156167708526652,0.00239730254168676,-0.340985976024466,0.0,-0.3283251932817715,75762,21308
h1_tsi_d1,-0.7852377027768884,0.1162693609194201,-0.7490617334472613,0.17251131139388304,-0.326272414262037,75742,21308
m15_tsi_d3,-2.0334944828553545,0.18773062884511196,-1.7834738462432107,0.3099311356229544,-0.32078177840102473,75752,21308
h1_motion_neg,2.9403526834032894,2.2079500657030224,3.0,1.0,0.320337013369173,75762,21308
h1_rsi_d3,-2.2855732412196583,0.31101611104133053,-2.214906152577072,0.3889624698285097,-0.31845919929297056,75717,21308
h1_motion_net,-1.1759061270821785,0.16092547400037543,-2.0,0.0,-0.31718517308711436,75762,21308
h1_er10,0.33501374528633165,0.26493689270884985,0.3016426082628188,0.2248062015503882,0.31584709758587654,75721,21305
pre_bounce_from_low_2h,1.2771985602098235,0.49401507020344704,0.8316831683168324,0.3941036043402346,0.3134000009551163,75751,21308
h1_rsi_d1,-1.5253433379717338,0.12806189396357823,-1.3524927882647901,0.0,-0.30971300136357893,75718,21308
m15_stoch_k,41.72002455666387,51.61796438535778,36.070920164855714,52.61570108815936,-0.30917128219916545,75724,21307
btc4_donch_pos,0.5375010774461326,0.4556095957288616,0.5503993521747613,0.4218693730561452,0.3091708906767328,75762,21308
m15_bb_pctb,0.38367141801576116,0.49376084071285187,0.3363262472155738,0.495921324561278,-0.3085476874129963,75736,21308
h4_kdj_d,48.83118510390515,43.15537184447444,48.65707271209872,41.83139493409194,0.3069706724126721,75675,21308
