event_id,symbol,decision_time,hash_mod,baseline,dip_entered,dip_return,dip_entry_bar,fallback_return,fallback_mode,fallback_entry_bar,dip_delta_vs_same_event_base,fallback_delta,year,month
0,TUSDT,2023-01-16 09:15:00+00:00,74,7.139449541284404,False,,,13.164055299539168,FALLBACK,8,,6.024605758254764,2023,2023-01
1,NEARUSDT,2023-01-16 22:15:00+00:00,92,-0.381818181818183,True,0.02914757103573712,3.0,0.02914757103573712,DIP,3,0.4109657528539201,0.4109657528539201,2023,2023-01
2,HBARUSDT,2023-01-21 11:30:00+00:00,10,-1.4569832402234637,False,,,-1.729902642559111,FALLBACK,8,,-0.2729194023356474,2023,2023-01
3,SKLUSDT,2023-02-18 03:30:00+00:00,14,6.399350883519639,False,,,0.02000338466745538,FALLBACK,8,,-6.379347498852184,2023,2023-02
4,FILUSDT,2023-03-16 05:30:00+00:00,78,4.024854162983904,False,,,2.1483030510798917,FALLBACK,8,,-1.8765511119040124,2023,2023-03
5,RLCUSDT,2023-03-16 05:30:00+00:00,81,3.3976015989340524,False,,,3.2255599472990726,FALLBACK,8,,-0.17204165163497986,2023,2023-03
6,NEOUSDT,2023-03-19 05:45:00+00:00,70,6.039600665557399,True,6.107821698906646,3.0,6.107821698906646,DIP,3,0.06822103334924723,0.06822103334924723,2023,2023-03
7,ALICEUSDT,2023-08-18 15:15:00+00:00,27,1.5663043478260976,True,2.805464480874309,2.0,2.805464480874309,DIP,2,1.2391601330482114,1.2391601330482114,2023,2023-08
8,CTKUSDT,2023-08-18 15:15:00+00:00,19,0.4097560975609761,False,,,0.40851926977687486,FALLBACK,8,,-0.0012368277841012243,2023,2023-08
9,CVCUSDT,2023-08-18 15:15:00+00:00,75,0.9299435028248484,True,2.791452991453003,6.0,2.791452991453003,DIP,6,1.8615094886281545,1.8615094886281545,2023,2023-08
10,GALAUSDT,2023-08-18 15:15:00+00:00,47,2.104147465437811,True,4.296124031007742,7.0,4.296124031007742,DIP,7,2.191976565569931,2.191976565569931,2023,2023-08
11,TRBUSDT,2023-08-18 15:15:00+00:00,2,1.0072434607645957,True,2.8425963488843964,2.0,2.8425963488843964,DIP,2,1.8353528881198007,1.8353528881198007,2023,2023-08
12,ZRXUSDT,2023-08-18 15:15:00+00:00,64,2.758236658932711,True,4.1148688046647175,2.0,4.1148688046647175,DIP,2,1.3566321457320063,1.3566321457320063,2023,2023-08
13,APEUSDT,2023-08-19 06:15:00+00:00,7,2.5528809218950066,True,3.532303732303732,2.0,3.532303732303732,DIP,2,0.9794228104087255,0.9794228104087255,2023,2023-08
14,IQUSDT,2024-03-05 03:15:00+00:00,70,-4.251029543419871,True,-3.090369199503229,3.0,-3.090369199503229,DIP,3,1.1606603439166419,1.1606603439166419,2024,2024-03
15,FLOKIUSDT,2024-03-06 03:15:00+00:00,1,11.344887013101191,False,,,-2.429399716401448,FALLBACK,8,,-13.77428672950264,2024,2024-03
16,ETCUSDT,2024-04-03 13:45:00+00:00,49,6.330343007915551,False,,,6.291803278688524,FALLBACK,8,,-0.03853972922702731,2024,2024-04
17,AMPUSDT,2024-08-06 09:30:00+00:00,43,6.5515546342908015,True,7.549627421758576,2.0,7.549627421758576,DIP,2,0.9980727874677742,0.9980727874677742,2024,2024-08
