policy,type,train_score,DISCOVERY_n,DISCOVERY_mean,DISCOVERY_median,DISCOVERY_win,DISCOVERY_pf,DISCOVERY_q10,DISCOVERY_q25,CALIBRATION_n,CALIBRATION_mean,CALIBRATION_median,CALIBRATION_win,CALIBRATION_pf,CALIBRATION_q10,CALIBRATION_q25,CROSS_HOLDOUT_PRE2026_n,CROSS_HOLDOUT_PRE2026_mean,CROSS_HOLDOUT_PRE2026_median,CROSS_HOLDOUT_PRE2026_win,CROSS_HOLDOUT_PRE2026_pf,CROSS_HOLDOUT_PRE2026_q10,CROSS_HOLDOUT_PRE2026_q25,FINAL_HOLDOUT_2026_n,FINAL_HOLDOUT_2026_mean,FINAL_HOLDOUT_2026_median,FINAL_HOLDOUT_2026_win,FINAL_HOLDOUT_2026_pf,FINAL_HOLDOUT_2026_q10,FINAL_HOLDOUT_2026_q25
FIXED_24H,fixed,5.916106977524721,27,3.415358477660622,4.024854162983904,88.88888888888889,11.01062245408734,0.19347319347319514,2.431192062185261,48,3.4574749932918087,3.169660666123064,85.41666666666666,14.531221120562826,-0.821944739638689,0.976254722072323,40,2.759756460723524,3.0651828847480966,80.0,5.022560565978723,-1.3878101252645934,0.34601049012903967,36,5.7914504361556345,3.3642843211877382,97.22222222222221,364.50346224527965,1.4663721437681578,2.9431077789480065
FIXED_72H,fixed,5.810905465946323,27,3.555127322222021,6.773848069738486,70.37037037037037,2.6686075361715185,-5.278003168078231,-0.7813572430427238,48,4.158374602326371,3.3934829452675785,81.25,7.572712098423592,-2.476683236988518,1.1968490923146615,40,6.301988670015521,6.249103545441271,77.5,4.091983188704135,-4.895243564976761,1.494600064332802,36,2.5947716269813847,1.079280591844334,63.888888888888886,3.522311606889797,-4.248626441010539,-0.6553887181865556
PROGRESS_6H_MFE0.5_24H,progress,5.349021335097692,27,3.415358477660622,4.024854162983904,88.88888888888889,11.01062245408734,0.19347319347319514,2.431192062185261,48,3.0566061685669266,3.169660666123064,75.0,6.779229844139369,-2.558303693570446,0.005198358413138926,40,2.5052308987810354,3.0651828847480966,75.0,3.729220326415085,-3.0310047846889963,0.12563405169636627,36,5.7914504361556345,3.3642843211877382,97.22222222222221,364.50346224527965,1.4663721437681578,2.9431077789480065
PROGRESS_6H_MFE1_24H,progress,5.349021335097692,27,3.2095894047837352,4.024854162983904,85.18518518518519,10.15776783355247,-0.30344923893310877,0.7245736518463832,48,3.0566061685669266,3.169660666123064,75.0,6.779229844139369,-2.558303693570446,0.005198358413138926,40,2.402669736039445,3.0651828847480966,70.0,3.5611623821317675,-3.0310047846889963,-0.15923934158613134,36,5.7914504361556345,3.3642843211877382,97.22222222222221,364.50346224527965,1.4663721437681578,2.9431077789480065
FIXED_48H,fixed,5.163276271301739,27,2.7248524017703777,2.938880663310628,85.18518518518519,4.057445401393461,-2.6882890563824424,1.6804875090614237,48,4.12517618738888,3.8127930958700262,89.58333333333334,12.63174405469641,-0.015886375591793525,2.644938309660988,40,3.6401451427824627,3.119969366536357,75.0,3.8383245136244213,-2.6242546859499702,-0.013664596273304908,36,6.857278000961758,5.08082709722909,97.22222222222221,962.534340687361,1.0859156820622886,3.6809937708242924
PROGRESS_12H_MFE1_48H,progress,5.001239234264702,27,2.7248524017703777,2.938880663310628,85.18518518518519,4.057445401393461,-2.6882890563824424,1.6804875090614237,48,3.429077259390828,3.7172367414038954,77.08333333333334,6.207895332654851,-3.548776721602147,0.4962619974715867,40,3.3053338828068375,3.119969366536357,67.5,3.154457172716107,-3.252287107447607,-0.868730089309158,36,6.857278000961758,5.08082709722909,97.22222222222221,962.534340687361,1.0859156820622886,3.6809937708242924
TRAIL_A5_T3_48H,trail,4.985400941230608,27,2.724080204280364,2.7458098904352912,92.5925925925926,7.288449284813932,1.695743879472689,1.9793968920739482,48,2.512930021332213,2.4824762721861737,93.75,10.085885045282907,1.818431235955056,2.0738837694498304,40,1.685035706455753,2.7932457145063094,80.0,2.3532685047796096,-2.6242546859499702,1.698777782962935,36,4.528774781189486,3.0675838960297352,100.0,,1.7474970437524664,2.179966887417212
TP5_SL5_48H,tpsl,4.956187410586552,27,3.5055388089665436,4.8,88.88888888888889,7.06727870782671,-1.1830508474576293,4.8,48,2.256187410586552,4.8,75.0,2.7355287773742707,-5.2,0.7227467811158694,40,1.628559421915718,4.8,67.5,2.1191139662152283,-5.2,-4.437152034261239,36,4.402807822571835,4.8,97.22222222222221,31.480977233189623,4.8,4.8
TRAIL_A5_T3_72H,trail,4.9136884337098845,27,3.1331351733909645,2.749252801992519,92.5925925925926,14.629169115747803,1.8616335112404816,2.0980341200552366,48,2.462252948260466,2.3983345343902673,93.75,10.647309880597474,1.7438055344897088,2.0434759453222098,40,1.117518907249677,2.9451958519436716,80.0,1.5614274329497062,-4.895243564976761,1.8048967703421739,36,4.5017841668730645,3.0675838960297352,97.22222222222221,26.18233257840049,1.8261484352569581,2.1939984548391633
TP5_SL5_24H,tpsl,4.896938719087457,27,3.5589678397876905,4.8,92.5925925925926,18.21520274294697,0.8387681420038853,3.2428059674806775,48,2.1552720524207896,4.8,77.08333333333334,2.981859358547853,-5.2,1.1795989438090295,40,1.8465118371034368,4.266536288570197,75.0,2.713285580819822,-5.2,0.286317784735385,36,4.21900347695812,4.8,97.22222222222221,265.8079937842252,1.8343493251679168,4.8
PROGRESS_12H_MFE2_48H,progress,4.754361528417147,27,2.5613080292561565,2.938880663310628,85.18518518518519,3.8739389518909086,-2.6882890563824424,0.9022812188518416,48,3.172818093247941,3.6207528306585357,72.91666666666666,5.290888995447935,-3.548776721602147,-0.24990019960079696,40,3.233276552372306,2.708419331190448,67.5,3.2394582690638343,-3.1858385093167723,-0.5623045156851995,36,6.390338394001296,4.786203969011993,97.22222222222221,897.059604639534,0.24863203452749633,2.206410963944083
TP5_SL5_72H,tpsl,4.75,27,3.467085164260305,4.8,85.18518518518519,6.575851393188851,-2.793220338983053,4.8,48,2.091666666666667,4.8,72.91666666666666,2.4852071005917162,-5.2,-5.2,40,1.4412906581008333,4.8,65.0,1.8585707019836228,-5.2,-5.2,36,4.451709401709402,4.8,97.22222222222221,31.81952662721893,4.8,4.8
TP5_SL3_24H,tpsl,4.700444592802581,27,3.633041913861765,4.8,92.5925925925926,28.38612813240974,0.8387681420038853,3.2428059674806775,48,2.083777926135914,4.8,70.83333333333334,3.232619206574193,-3.2,-3.2,40,1.635677857724604,3.2978671725838016,67.5,2.641547076321507,-3.2,-3.2,36,3.9238246774689762,4.8,94.44444444444444,23.071513810762987,1.413609211559508,4.8
TP5_SL3_48H,tpsl,4.622854077253218,27,3.727761031188766,4.8,88.88888888888889,11.484327900218403,-0.3830508474576293,4.8,48,2.0895207439198855,4.8,66.66666666666666,2.9589256974248923,-3.2,-3.2,40,1.2179603489376762,4.8,55.00000000000001,1.9153120481415902,-3.2,-3.2,36,3.6563627730294397,4.8,86.11111111111111,9.226816239316241,-3.2,4.8
TP7_SL5_48H,tpsl,4.592852165665542,27,2.766732540126491,3.393272171253825,77.77777777777779,3.394287775109463,-5.2,1.671523167313216,48,2.411200789518753,6.8,66.66666666666666,2.391077378568511,-5.2,-5.2,40,2.2140302519737474,3.119969366536357,67.5,2.521437991923068,-5.2,-4.437152034261239,36,4.743256052111333,6.8,91.66666666666666,17.023404579074356,0.8242601809115959,3.6809937708242924
