rank,tier,score,rule,disc_n,disc_mean24,disc_win24,cal_n,cal_mean24,cal_win24,hold_n,hold_mean24,all2026_n,all2026_mean24
1,STRICT,4.180769863802908,"{""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}",32,2.324617689079088,68.75,19,3.364261319809628,68.42105263157895,28,0.25332549384281705,17,2.6865079942808525
2,STRICT,3.2938245364393444,"{""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.031248074044156266, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}",45,1.5802751148464296,64.44444444444444,22,3.484456266048018,72.72727272727273,33,0.3527725131187723,19,2.446538322936011
3,ACCEPTABLE,3.2770007826649663,"{""type"": ""single"", ""feature"": ""btc1_tsi_d1"", ""side"": ""GE"", ""threshold"": -1.60800396382637, ""q"": 0.35, ""family"": ""tsi"", ""timeframe"": ""btc1""}",84,2.2872768040508547,70.23809523809523,24,1.7741608192257656,58.333333333333336,59,0.37334340424090157,23,1.503717214053422
4,ACCEPTABLE,3.263374679357642,"{""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.006731912334715189, ""q"": 0.35, ""family"": ""cmf"", ""timeframe"": ""btc4""}",83,1.8069771206253937,68.67469879518072,37,1.7050214687904088,62.16216216216216,67,-0.13283546255138587,24,2.1553305832989724
5,ACCEPTABLE,3.127832509184317,"{""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": -0.0125428889400888, ""q"": 0.25, ""family"": ""cmf"", ""timeframe"": ""btc4""}",98,1.797399373520049,68.36734693877551,38,1.6193710814134576,60.526315789473685,73,0.15648996102555393,24,2.1553305832989724
6,STRICT,3.0898786663141737,"{""type"": ""single"", ""feature"": ""btc4_di_spread_d3"", ""side"": ""GE"", ""threshold"": 3.336060964108104, ""q"": 0.65, ""family"": ""di_spread"", ""timeframe"": ""btc4""}",45,1.810640600265624,71.11111111111111,15,1.4926197940901955,60.0,29,-0.6554038845340661,17,1.46726498830861
7,STRICT,2.8907269599411354,"{""type"": ""single"", ""feature"": ""h4_donch_pos_d3"", ""side"": ""GE"", ""threshold"": 0.19310372116326113, ""q"": 0.65, ""family"": ""donch"", ""timeframe"": ""h4""}",45,2.0878679969161746,71.11111111111111,15,1.2534680877171576,66.66666666666666,27,0.030059235801028695,6,2.2387991250128603
8,STRICT,2.876370043663227,"{""type"": ""single"", ""feature"": ""btc4_adx_acc"", ""side"": ""GE"", ""threshold"": -0.037539051508769655, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}",83,1.2323285257374925,67.46987951807229,26,1.5170479027191943,73.07692307692307,54,1.272595229074727,22,1.5479360607758397
9,ACCEPTABLE,2.8533651163928027,"{""type"": ""single"", ""feature"": ""btc4_er10_d1"", ""side"": ""GE"", ""threshold"": 0.0491567874113825, ""q"": 0.65, ""family"": ""er10"", ""timeframe"": ""btc4""}",47,1.7705607382048747,68.08510638297872,17,1.3017497178247133,64.70588235294117,32,0.7056017898863524,8,-0.7829968023723279
10,ACCEPTABLE,2.8093196923939687,"{""type"": ""single"", ""feature"": ""h1_rvol20_d1"", ""side"": ""LE"", ""threshold"": -0.11015883550727072, ""q"": 0.35, ""family"": ""rvol"", ""timeframe"": ""h1""}",45,2.026653737412315,64.44444444444444,21,1.4145011613438512,57.14285714285714,40,-0.33055517179482674,10,1.3432977724149764
11,ACCEPTABLE,2.7094327213239437,"{""type"": ""single"", ""feature"": ""btc4_cmf_d1"", ""side"": ""GE"", ""threshold"": 0.03167702115818238, ""q"": 0.65, ""family"": ""cmf"", ""timeframe"": ""btc4""}",45,2.01446026770909,71.11111111111111,19,1.125648967652755,68.42105263157895,29,1.965194948983807,15,2.9735138810765
12,ACCEPTABLE,2.646412432990554,"{""type"": ""single"", ""feature"": ""btc1_chop14_d1"", ""side"": ""GE"", ""threshold"": 1.8774567166058587, ""q"": 0.65, ""family"": ""chop"", ""timeframe"": ""btc1""}",45,1.1719685350739097,66.66666666666666,18,1.7382724419646998,61.111111111111114,40,0.2228557298741694,16,1.476750932450274
13,ACCEPTABLE,2.3538588640067606,"{""type"": ""single"", ""feature"": ""btc4_donch_pos_d1"", ""side"": ""GE"", ""threshold"": 0.024229146994768837, ""q"": 0.35, ""family"": ""donch"", ""timeframe"": ""btc4""}",83,1.4572014058018883,71.08433734939759,35,0.7652832180096868,62.857142857142854,62,1.4343643634039367,32,2.475763335380897
14,ACCEPTABLE,2.3021513984486996,"{""type"": ""single"", ""feature"": ""btc4_adx_d3"", ""side"": ""LE"", ""threshold"": -0.2416742656742701, ""q"": 0.35, ""family"": ""adx"", ""timeframe"": ""btc4""}",45,2.7540524292075643,84.44444444444444,19,0.7183676447775115,63.1578947368421,36,1.3400119905689194,7,-0.7728818569754539
15,ACCEPTABLE,2.273202886325829,"{""type"": ""single"", ""feature"": ""h1_adx_d3"", ""side"": ""GE"", ""threshold"": 0.768328085877299, ""q"": 0.65, ""family"": ""adx"", ""timeframe"": ""h1""}",45,1.620629214833193,60.0,16,0.7373815519202077,56.25,38,-1.3213902779351099,20,1.7876976877474735
16,ACCEPTABLE,2.1851157699970205,"{""type"": ""single"", ""feature"": ""btc1_vwap_dist_d1"", ""side"": ""LE"", ""threshold"": -1.027151599234977, ""q"": 0.25, ""family"": ""vwap"", ""timeframe"": ""btc1""}",32,0.9321061686812926,65.625,22,0.7079299847677417,63.63636363636363,25,0.48327273279440336,11,-0.5347465751141096
17,STRICT,4.2794928055705554,"{""type"": ""or_pair"", ""a"": {""type"": ""single"", ""feature"": ""btc4_cmf_d3"", ""side"": ""GE"", ""threshold"": 0.050789701834993525, ""q"": 0.75, ""family"": ""cmf"", ""timeframe"": ""btc4""}, ""b"": {""type"": ""single"", ""feature"": ""btc4_di_spread_d3"", ""side"": ""GE"", ""threshold"": 3.336060964108104, ""q"": 0.65, ""family"": ""di_spread"", ""timeframe"": ""btc4""}}",53,2.160244291319432,67.9245283018868,27,2.686592730800499,62.96296296296296,45,-0.18724737760979748,29,2.2866194238036006
