name,a,b,disc_n,cal_n,disc_imp,cal_imp,stable,score
h1_rvol20_d1:veto_low:Q20:0.0020342265 & h1_donch_pos_d3:veto_low:Q20:-0.18543143,h1_rvol20_d1:veto_low:Q20:0.0020342265,h1_donch_pos_d3:veto_low:Q20:-0.18543143,18,25,"{'mean24': 1.0039465117746222, 'median24': 0.6820956675219874, 'win24': 5.555555555555557, 'loss_reduction': 5.555555555555555, 'q10': 2.32191666079099}","{'mean24': 1.2616953080931297, 'median24': 0.27213076974162975, 'win24': 10.583333333333343, 'loss_reduction': 10.583333333333334, 'q10': 2.386802961174057}",True,1.6955367880834809
h1_rvol20_d1:veto_low:Q20:0.0020342265 & btc1_di_spread:veto_high:Q90:4.7908307,h1_rvol20_d1:veto_low:Q20:0.0020342265,btc1_di_spread:veto_high:Q90:4.7908307,20,34,"{'mean24': 1.053146603078512, 'median24': 0.6820956675219874, 'win24': 11.111111111111114, 'loss_reduction': 11.11111111111111, 'q10': 2.45273449948997}","{'mean24': 0.8798284534642913, 'median24': 0.4208788341209413, 'win24': 8.700980392156865, 'loss_reduction': 8.700980392156865, 'q10': 1.892673602809034}",True,1.527016462009687
btc1_di_spread:veto_high:Q90:4.7908307 & h1_donch_pos_d3:veto_low:Q20:-0.18543143,btc1_di_spread:veto_high:Q90:4.7908307,h1_donch_pos_d3:veto_low:Q20:-0.18543143,19,29,"{'mean24': 1.0530253046412326, 'median24': 0.6732205822029602, 'win24': 11.111111111111114, 'loss_reduction': 11.11111111111111, 'q10': 2.38732558014048}","{'mean24': 0.8790930698602533, 'median24': 0.22319244120198034, 'win24': 7.686781609195407, 'loss_reduction': 7.686781609195403, 'q10': 1.7103728451378153}",True,1.4604219133286152
h1_rvol20_d1:veto_low:Q20:0.0020342265 & h1_bb_width_d1:veto_high:Q80:-0.0029803765,h1_rvol20_d1:veto_low:Q20:0.0020342265,h1_bb_width_d1:veto_high:Q80:-0.0029803765,18,29,"{'mean24': 1.1022506857433858, 'median24': 0.6820956675219874, 'win24': 11.111111111111114, 'loss_reduction': 11.11111111111111, 'q10': 2.795620569088155}","{'mean24': 0.7201806349167712, 'median24': 0.5074259356515731, 'win24': 11.135057471264375, 'loss_reduction': 11.135057471264368, 'q10': 1.9938638384312402}",True,1.4408688167468036
btc1_di_spread:veto_high:Q90:4.7908307 & h1_atr_pct_d3:veto_high:Q80:0.03774164,btc1_di_spread:veto_high:Q90:4.7908307,h1_atr_pct_d3:veto_high:Q80:0.03774164,20,30,"{'mean24': 0.8361188016527215, 'median24': 0.6502187125681074, 'win24': 11.111111111111114, 'loss_reduction': 11.11111111111111, 'q10': 1.746633829083264}","{'mean24': 0.8365458552593528, 'median24': 0.4208788341209413, 'win24': 7.916666666666671, 'loss_reduction': 7.916666666666667, 'q10': 2.0141018855556814}",True,1.4311105922568708
h1_rvol20_d1:veto_low:Q20:0.0020342265 & h1_donch_pos_d3:veto_low:Q10:-0.22744619,h1_rvol20_d1:veto_low:Q20:0.0020342265,h1_donch_pos_d3:veto_low:Q10:-0.22744619,20,30,"{'mean24': 0.8614618373323135, 'median24': 0.6820956675219874, 'win24': 6.111111111111114, 'loss_reduction': 6.111111111111111, 'q10': 1.7419709507686143}","{'mean24': 1.190003923363434, 'median24': 0.4208788341209413, 'win24': 11.250000000000014, 'loss_reduction': 11.25, 'q10': 2.0141018855556814}",True,1.4191767972466893
h1_rvol20_d1:veto_low:Q20:0.0020342265 & btc4_ppo_hist:veto_high:Q90:-0.065269601,h1_rvol20_d1:veto_low:Q20:0.0020342265,btc4_ppo_hist:veto_high:Q90:-0.065269601,21,34,"{'mean24': 0.8229019813507299, 'median24': 0.6732205822029602, 'win24': 6.349206349206341, 'loss_reduction': 6.349206349206349, 'q10': 1.8640542253445598}","{'mean24': 0.8798284534642913, 'median24': 0.4208788341209413, 'win24': 8.700980392156865, 'loss_reduction': 8.700980392156865, 'q10': 1.892673602809034}",True,1.415899664670997
btc1_di_spread:veto_high:Q90:4.7908307 & h1_donch_pos_d3:veto_low:Q10:-0.22744619,btc1_di_spread:veto_high:Q90:4.7908307,h1_donch_pos_d3:veto_low:Q10:-0.22744619,22,34,"{'mean24': 1.0043568663370581, 'median24': 0.6820956675219874, 'win24': 11.111111111111114, 'loss_reduction': 11.11111111111111, 'q10': 1.9294631446940498}","{'mean24': 0.8721010007212375, 'median24': 0.3032312511659696, 'win24': 8.700980392156865, 'loss_reduction': 8.700980392156865, 'q10': 1.4064063043930775}",True,1.3977221846626442
h1_cmo_acc:veto_low:Q20:-16.338186 & h1_atr_pct_d3:veto_high:Q80:0.03774164,h1_cmo_acc:veto_low:Q20:-16.338186,h1_atr_pct_d3:veto_high:Q80:0.03774164,18,31,"{'mean24': 0.781511708899425, 'median24': 0.6502187125681074, 'win24': 5.555555555555557, 'loss_reduction': 5.555555555555555, 'q10': 1.9556668370631525}","{'mean24': 1.0406152842861638, 'median24': 0.5074259356515731, 'win24': 8.131720430107535, 'loss_reduction': 8.131720430107528, 'q10': 2.0343399326801226}",True,1.3815395292763242
h1_atr_pct_d3:veto_high:Q80:0.03774164 & btc4_adx_acc:veto_high:Q90:0.13268011,h1_atr_pct_d3:veto_high:Q80:0.03774164,btc4_adx_acc:veto_high:Q90:0.13268011,20,32,"{'mean24': 0.8361188016527215, 'median24': 0.6502187125681074, 'win24': 11.111111111111114, 'loss_reduction': 11.11111111111111, 'q10': 1.746633829083264}","{'mean24': 0.8670693710436441, 'median24': 0.4208788341209413, 'win24': 5.208333333333343, 'loss_reduction': 5.208333333333334, 'q10': 1.8521975085601516}",True,1.376943925590204
