feature,tf,family,direction,effect_discovery,effect_calibration,stable_strength
btc4_mfi_acc,btc4,mfi,-1,-0.13110393941021936,-0.1212941063743409,0.1212941063743409
btc4_donch_pos_d3,btc4,donch_pos,1,0.09070240603009148,0.1270021211817514,0.09070240603009148
btc4_mfi_d1,btc4,mfi,-1,-0.08686634315303073,-0.11747572288359553,0.08686634315303073
h4_rvol20,h4,rvol20,-1,-0.07930791392152181,-0.0922736377246731,0.07930791392152181
btc1_di_spread_d3,btc1,di_spread,-1,-0.08245700868162902,-0.07630417596048307,0.07630417596048307
m15_chop14_acc,m15,chop14,1,0.07274789463553206,0.08575295815468913,0.07274789463553206
btc1_roc4_d3,btc1,roc4,-1,-0.07088243216761443,-0.1332681677650872,0.07088243216761443
h1_cmf_acc,h1,cmf,1,0.07035628645890449,0.09506841778825056,0.07035628645890449
m15_vwap_dist_d1,m15,vwap_dist,-1,-0.07499418226684253,-0.0674812753328277,0.0674812753328277
m15_roc4_d3,m15,roc4,-1,-0.06720829612635673,-0.08333496137425943,0.06720829612635673
m15_roc12,m15,roc12,-1,-0.06687529614578362,-0.12463137136422454,0.06687529614578362
btc1_rvol20_acc,btc1,rvol20,-1,-0.08813557238348495,-0.06541748308323658,0.06541748308323658
h1_roc4,h1,roc4,-1,-0.06822989432561147,-0.0629144948665547,0.0629144948665547
m15_vwap_dist_acc,m15,vwap_dist,-1,-0.06152573674380425,-0.09756216401531964,0.06152573674380425
btc4_cmo_acc,btc4,cmo,-1,-0.06038245658758914,-0.07643059147550371,0.06038245658758914
m15_ppo_hist_d1,m15,ppo_hist,-1,-0.059838646115259166,-0.07040201717412888,0.059838646115259166
btc1_ppo_hist_d3,btc1,ppo_hist,1,0.05944788348184357,0.07629975597968959,0.05944788348184357
h4_cmf,h4,cmf,-1,-0.0818747813854678,-0.05914917816895916,0.05914917816895916
m15_er10_d1,m15,er10,-1,-0.05860467529906343,-0.19469331083945066,0.05860467529906343
m15_vwap_dist,m15,vwap_dist,-1,-0.06549175440293786,-0.05630545757869225,0.05630545757869225
h1_mfi_d1,h1,mfi,1,0.056152212359385584,0.1371367517207352,0.056152212359385584
btc4_cmo_d3,btc4,cmo,-1,-0.054013519295180466,-0.0808915689680735,0.054013519295180466
h1_cmf_d1,h1,cmf,1,0.11556376550279993,0.0531100606763431,0.0531100606763431
m15_mfi_d1,m15,mfi,1,0.05248524627248858,0.08553295653483786,0.05248524627248858
btc4_cmo_d1,btc4,cmo,-1,-0.05054200419913921,-0.17245773702310832,0.05054200419913921
