max_slots,hold_h,daily_entry_cap,accepted,skipped_slots,skipped_symbol,skipped_daily,final_equity,total_return_pct,max_drawdown_pct
1,12,,31,194,0,0,152.1416941758287,52.141694175828675,-17.053869410914324
1,12,1.0,30,0,0,195,151.0704672264051,51.07046722640509,-17.05386941091436
1,12,3.0,31,194,0,0,152.1416941758287,52.141694175828675,-17.053869410914324
1,12,5.0,31,194,0,0,152.1416941758287,52.141694175828675,-17.053869410914324
2,12,,45,180,0,0,133.29778579314493,33.29778579314493,-11.31203220435636
2,12,1.0,30,0,0,195,124.49798083641491,24.4979808364149,-8.713547005819954
2,12,3.0,45,180,0,0,133.29778579314493,33.29778579314493,-11.31203220435636
2,12,5.0,45,180,0,0,133.29778579314493,33.29778579314493,-11.31203220435636
3,12,,54,171,0,0,127.65373251082744,27.65373251082743,-8.356078974922198
3,12,1.0,30,0,0,195,116.07228766425902,16.072287664259033,-5.850081310321553
3,12,3.0,54,0,0,171,127.65373251082744,27.65373251082743,-8.356078974922198
3,12,5.0,54,171,0,0,127.65373251082744,27.65373251082743,-8.356078974922198
5,12,,70,155,0,0,121.29963378093967,21.299633780939665,-5.459873491970891
5,12,1.0,30,0,0,195,109.51327699228281,9.513276992282815,-3.5296557181184296
5,12,3.0,54,0,0,171,116.09722021265084,16.097220212650832,-5.043379252474778
5,12,5.0,70,0,0,155,121.29963378093967,21.299633780939665,-5.459873491970891
10,12,,99,126,0,0,115.71391187782363,15.713911877823627,-4.249066638497423
10,12,1.0,30,0,0,195,104.70639206784898,4.706392067848975,-1.7721512072312207
10,12,3.0,54,0,0,171,107.86140972896955,7.861409728969537,-2.5325810732649723
10,12,5.0,70,0,0,155,110.303101563826,10.303101563826011,-2.7337594882441363
1,24,,29,196,0,0,150.9601599753107,50.960159975310695,-20.14165498397321
1,24,1.0,29,1,0,195,150.9601599753107,50.960159975310695,-20.14165498397321
1,24,3.0,29,196,0,0,150.9601599753107,50.960159975310695,-20.14165498397321
1,24,5.0,29,196,0,0,150.9601599753107,50.960159975310695,-20.14165498397321
2,24,,44,181,0,0,140.13910160030903,40.139101600309026,-10.346441295286702
2,24,1.0,30,0,0,195,126.14337096866824,26.143370968668233,-10.346441295286702
2,24,3.0,44,181,0,0,140.13910160030903,40.139101600309026,-10.346441295286702
2,24,5.0,44,181,0,0,140.13910160030903,40.139101600309026,-10.346441295286702
3,24,,53,172,0,0,136.75406759951954,36.75406759951954,-6.958875042035595
3,24,1.0,30,0,0,195,117.10989184806385,17.109891848063864,-6.958875042035595
3,24,3.0,53,1,0,171,136.75406759951954,36.75406759951954,-6.958875042035595
3,24,5.0,53,172,0,0,136.75406759951954,36.75406759951954,-6.958875042035595
5,24,,69,156,0,0,141.0037922892816,41.00379228928159,-5.51272142192073
5,24,1.0,30,0,0,195,110.10492873894674,10.10492873894675,-4.204723830906698
5,24,3.0,54,0,0,171,121.6251047708226,21.625104770822603,-4.204723830906709
5,24,5.0,69,1,0,155,141.0037922892816,41.00379228928159,-5.51272142192073
10,24,,99,126,0,0,129.31135422502174,29.311354225021734,-4.081780839428051
10,24,1.0,30,0,0,195,104.99004586262429,4.990045862624282,-2.1133864675853653
10,24,3.0,54,0,0,171,110.40640676628229,10.406406766282284,-2.113386467585354
10,24,5.0,70,0,0,155,119.31479794419239,19.314797944192396,-2.835589491887558
1,72,,24,201,0,0,85.02884801608644,-14.971151983913556,-37.570095791077684
1,72,1.0,24,80,0,121,85.02884801608644,-14.971151983913556,-37.570095791077684
1,72,3.0,24,201,0,0,85.02884801608644,-14.971151983913556,-37.570095791077684
1,72,5.0,24,201,0,0,85.02884801608644,-14.971151983913556,-37.570095791077684
2,72,,39,186,0,0,149.4986550255651,49.49865502556512,-26.87328086634033
2,72,1.0,29,0,1,195,142.6675100733126,42.6675100733126,-22.20223043958559
2,72,3.0,39,186,0,0,149.4986550255651,49.49865502556512,-26.87328086634033
2,72,5.0,39,186,0,0,149.4986550255651,49.49865502556512,-26.87328086634033
3,72,,48,177,0,0,154.36048089021304,54.36048089021304,-15.560656777183478
3,72,1.0,29,0,1,195,130.4310029397289,30.43100293972889,-15.099303239021467
3,72,3.0,48,78,0,99,154.36048089021304,54.36048089021304,-15.560656777183478
3,72,5.0,48,177,0,0,154.36048089021304,54.36048089021304,-15.560656777183478
5,72,,65,159,1,0,154.88967854243953,54.88967854243953,-8.521003697121222
5,72,1.0,29,0,1,195,119.17611991982916,19.17611991982917,-9.198716619035952
5,72,3.0,53,0,1,171,132.15984703996193,32.15984703996193,-9.260569361583615
5,72,5.0,65,74,1,85,154.88967854243953,54.88967854243953,-8.521003697121222
10,72,,95,129,1,0,141.7387327655044,41.738732765504416,-8.070535753388718
10,72,1.0,29,0,1,195,109.9202123383222,9.920212338322209,-4.650316353316963
10,72,3.0,53,0,1,171,115.99427667287169,15.994276672871699,-4.6522635173192555
10,72,5.0,69,0,1,155,124.21248323049004,24.212483230490033,-4.280534545814962
