policy,mode,stable_dev,score,disc_n,cal_n,disc_net24,cal_net24,disc_net48,cal_net48,disc_pf24,cal_pf24
WAIT24H_STOCH_MULTI,DELAYED_CONFIRM,False,-0.23953487057836023,2364,1908,0.3261243384877657,-0.03366229366293737,0.6712118758833597,-0.20422543745669416,1.193716225783209,0.9835286054127129
WAIT24H_STRUCT_M4,DELAYED_CONFIRM,False,-0.27771286144153234,2364,1908,0.3221697611103545,-0.06178679379164425,0.6529891354364825,-0.2129220534665175,1.1892504206900656,0.9699598581662942
WAIT24H_HLHH_M3,DELAYED_CONFIRM,False,-0.29588931459661844,2363,1908,0.2692855510247649,-0.0840000298453849,0.6255182600792305,-0.20781244407210786,1.1562513559715857,0.9592315932087434
WAIT24H_TURN4,DELAYED_CONFIRM,False,-0.30698941066572294,2364,1908,0.2958918729271554,-0.04828145634506648,0.6389008821712189,-0.25636499780341654,1.1707347140238067,0.9765704348276009
DIP3_STOCH_MULTI,DIP_RECLAIM,False,-0.32548386506915966,1283,1212,0.6214677830376623,0.08464629526928479,1.1581927509866214,-0.4143907334474119,1.3497539662869942,1.0426057310896744
DIP3_HLHH_M3,DIP_RECLAIM,False,-0.37014210968815187,1275,1203,0.5458726095850616,0.02895624913911823,1.0680527218622824,-0.4005290805286069,1.3068122430596736,1.0143072170133685
DIP3_TURN4,DIP_RECLAIM,False,-0.37058705965868444,1284,1208,0.6094355127912634,0.04360289402737627,1.104992767998993,-0.41637046145464274,1.3457563936539843,1.0218050776858203
DIP3_STRUCT_M4,DIP_RECLAIM,False,-0.3993765798447166,1280,1205,0.5995671538321338,0.015394353801120489,1.0705881008220568,-0.4155342257389155,1.343037320505333,1.0076329209307844
WAIT24H_RECLAIM_M3,DELAYED_CONFIRM,False,-0.40063157408640104,2364,1908,0.30397671609269844,-0.11434646448577251,0.6330731903848653,-0.280791265774882,1.1791259087938777,0.945061561742535
IMP1_GB1_TURN4,IMPULSE_GIVEBACK,False,-0.412860375066416,1370,1128,0.413122998034115,-0.20089479820192194,1.0952481193567196,-0.202311049969107,1.2287064879527,0.9034547310461298
