feature,dir,effect_disc,effect_cal,stable_strength
h1_donch_pos_d3,1,2.930074606711908,2.203456976268325,2.203456976268325
btc1_di_spread,-1,-17.346831223876542,-1.6366886119488526,1.6366886119488526
btc4_vwap_dist,-1,-1.6134731664108821,-3.2203615884898986,1.6134731664108821
h1_cmo_acc,1,1.483152854459927,1.7195174241539732,1.483152854459927
h4_bb_pctb,-1,-1.658378378775767,-1.4416253180419927,1.4416253180419927
btc1_vwap_dist,-1,-1.3522975415714116,-1.8082776493555024,1.3522975415714116
btc4_donch_pos,-1,-4.518997796563937,-1.2706101024395862,1.2706101024395862
btc4_di_spread,-1,-1.321774789203777,-1.2662724746560163,1.2662724746560163
btc1_rvol20_d1,1,1.3790849124802766,1.2366147047024503,1.2366147047024503
btc4_bb_pctb,-1,-2.432975941215626,-1.1571730188439082,1.1571730188439082
btc1_cmf_d3,1,1.0877935761532092,1.2857848544846953,1.0877935761532092
btc1_tsi,-1,-2.088155027418691,-1.0670223618120651,1.0670223618120651
btc1_atr_pct,1,1.10470341875786,1.0,1.0
btc1_cmo_d3,1,1.0490462118193515,1.0,1.0
btc1_roc12_d3,-1,-1.1971798195938834,-1.0,1.0
btc4_roc12,-1,-1.5233504334941508,-1.0,1.0
btc4_cmo,-1,-2.4030873391739194,-1.0,1.0
btc1_adx,1,6.638451305063871,1.0,1.0
btc1_roc4,-1,-1.7612969903296603,-1.0,1.0
btc4_atr_pct_acc,-1,-2.0178317667472254,-1.0,1.0
btc4_mfi,-1,-1.6899063064592328,-1.0,1.0
btc4_tsi,-1,-1.3308182359169636,-1.0,1.0
btc4_bb_pctb_d3,1,1.4606719073309233,1.0,1.0
btc4_bb_pctb_d1,1,1.0029234181765616,1.0,1.0
btc4_rvol20_acc,-1,-1.0,-0.975648284504545,0.975648284504545
h4_di_spread,-1,-1.2656008190308112,-0.9745885919597227,0.9745885919597227
btc1_bb_width,1,0.97445768198431,1.0,0.97445768198431
btc4_cmf_d3,1,0.9503268550551894,1.0,0.9503268550551894
btc1_atr_pct_d1,1,0.9201407271900925,1.0,0.9201407271900925
h4_bb_width_d3,1,2.5114868577901612,0.8642897568281674,0.8642897568281674
h4_cmo,-1,-1.4903286567716454,-0.8579179013680378,0.8579179013680378
h4_roc12,-1,-1.9764752634622165,-0.8491320763426328,0.8491320763426328
btc4_donch_pos_d3,1,0.83591152011823,1.0,0.83591152011823
h1_cmo_d3,1,0.8313114333336966,0.8248413236375086,0.8248413236375086
h1_cmo_d1,1,2.8108667530652256,0.8226024675825727,0.8226024675825727
btc1_atr_pct_acc,1,1.111436703668975,0.7683897846495437,0.7683897846495437
btc1_roc12_d1,-1,-0.7649452323608388,-1.0,0.7649452323608388
h1_rvol20_d1,1,0.7491502659360254,1.5214143089249912,0.7491502659360254
h4_bb_width_d1,1,3.22654391261274,0.7362934244364457,0.7362934244364457
m15_mfi_d1,-1,-0.7206580423195318,-0.9238862339542157,0.7206580423195318
h1_bb_pctb_d3,1,0.8081974478692363,0.7166740519021698,0.7166740519021698
h1_vwap_dist,-1,-0.7376583294715605,-0.7098369567335432,0.7098369567335432
h1_mfi_d1,1,0.7096985204633773,1.8606748406873626,0.7096985204633773
h1_ppo_hist,1,0.955466959243782,0.6894739974609642,0.6894739974609642
h1_tsi_d3,1,1.1224779096211939,0.6814400213815439,0.6814400213815439
h1_er10_acc,-1,-0.6677817067458649,-1.0547683678297188,0.6677817067458649
m15_rvol20_d3,-1,-0.7494175674786225,-0.6543856301911083,0.6543856301911083
h1_bb_width,1,0.6863475988091241,0.6479659140120865,0.6479659140120865
h4_mfi,-1,-1.0650626952629916,-0.6439604102483165,0.6439604102483165
h4_donch_pos,-1,-0.6879305855852411,-0.629707339940839,0.629707339940839
h1_roc12_d1,-1,-0.6169710688227737,-0.6059331483765592,0.6059331483765592
h4_donch_pos_d3,1,0.6319138000427446,0.6044533298950036,0.6044533298950036
h4_bb_pctb_d3,1,0.8410641900266383,0.5919878321162234,0.5919878321162234
m15_er10_acc,-1,-1.6981597080782618,-0.5743480008090374,0.5743480008090374
h1_tsi_d1,1,0.5672452984141271,0.8559094921617492,0.5672452984141271
btc4_cmf_acc,1,0.5648800238443326,0.9081541573627141,0.5648800238443326
h4_roc4_acc,-1,-0.9884402120097974,-0.5572965740246008,0.5572965740246008
h1_bb_width_d1,-1,-0.9214108818577753,-0.5486984934501434,0.5486984934501434
btc4_roc12_d1,-1,-0.5461685785200443,-1.0,0.5461685785200443
btc1_rvol20_acc,1,0.5402786543864095,0.6220535814006412,0.5402786543864095
btc4_ppo_hist,-1,-0.5371751168586696,-1.5053968484070488,0.5371751168586696
h1_bb_width_d3,-1,-1.585464315220295,-0.5364734582323006,0.5364734582323006
btc4_roc4_d3,1,1.2855462800713922,0.5290337218166007,0.5290337218166007
h4_di_spread_d1,1,0.5245476757293507,0.6663874591670793,0.5245476757293507
h4_cmf_d1,1,0.6179745507328372,0.5099074857924802,0.5099074857924802
m15_atr_pct_d1,1,0.4989925588838831,0.5593000320445606,0.4989925588838831
h4_cmf_d3,1,0.8599572454479714,0.4974703648672453,0.4974703648672453
h4_vwap_dist,-1,-1.7733374878925383,-0.496255470230764,0.496255470230764
h1_cmf_d1,1,0.7543227307938498,0.47970650088187805,0.47970650088187805
h4_bb_width_acc,-1,-1.3162353025245188,-0.46271260970571004,0.46271260970571004
h4_cmf_acc,1,0.48760358019158184,0.4560901719459047,0.4560901719459047
h1_er10_d1,-1,-0.7288024377747528,-0.4501826692797695,0.4501826692797695
h1_cmo,1,1.1203320998161794,0.4345822606412801,0.4345822606412801
h4_donch_pos_acc,-1,-1.135972322980579,-0.42483818143506963,0.42483818143506963
h1_mfi_acc,1,1.0219210490242396,0.4071767702560796,0.4071767702560796
