name,lookback_h,prototype_outcome_h,q,threshold,viable,disc_n,disc_win24,disc_mean24,disc_mean72,disc_mean168,cal_n,cal_win24,cal_mean24,cal_mean72,cal_mean168
LB12_PROTO24_Q700,12,24,0.7,0.37590803370178016,False,172,47.674418604651166,0.5214504478934131,1.6739083902907699,2.9239906045654256,64,42.1875,-0.8053954614986613,-1.1630189331758511,0.2149749864217614
LB12_PROTO24_Q750,12,24,0.75,0.5202308151561557,False,143,48.25174825174825,0.5271098616555294,2.022413836373279,2.8485100554164187,57,40.35087719298245,-1.0454231566925,-1.2530552835008832,0.2713888426956049
LB12_PROTO24_Q800,12,24,0.8,0.7093083536696465,False,115,47.82608695652174,0.11161076693707303,1.9381487462762985,3.606809452561653,42,33.33333333333333,-1.597407696304126,-1.6583527152866888,0.18993609856824664
LB12_PROTO24_Q850,12,24,0.85,0.857760418157201,False,86,50.0,0.2396240879328263,0.9084155055957909,0.9707903246855476,37,35.13513513513514,-1.7002836757170987,-1.8818183446552303,0.07219454067164181
LB12_PROTO24_Q875,12,24,0.875,0.954440279450177,False,72,52.77777777777778,0.42687132514123144,0.9388105418597098,1.7706782813926327,33,33.33333333333333,-1.9932765657263918,-2.530967648947726,0.011859500571149638
LB12_PROTO24_Q900,12,24,0.9,1.0578478296977558,False,58,53.44827586206896,0.8799957514656213,1.6844430507442505,2.661865070954453,28,32.142857142857146,-2.385370070678278,-2.8039970214124033,0.47105575045122755
LB12_PROTO24_Q925,12,24,0.925,1.2096469282131392,False,43,58.139534883720934,1.6383013537669924,2.533292018866907,4.54183567555334,18,27.77777777777778,-2.451241346328042,-1.9878908108062996,2.851351379056174
LB12_PROTO24_Q950,12,24,0.95,1.32275058794247,False,29,62.06896551724138,1.8414371081417455,2.7862993860304774,4.529098670470234,12,16.666666666666664,-3.582424799545626,-1.477163882349071,2.0628965281364597
LB12_PROTO24_Q965,12,24,0.965,1.3748070313514855,False,20,60.0,1.9032852463019616,3.24283644107311,4.9192028521136635,9,11.11111111111111,-4.340969093620233,0.21313602645085902,2.885014344958044
LB12_PROTO72_Q700,12,72,0.7,-0.44057831741768805,False,172,45.348837209302324,0.5263765170859004,1.9557807307714519,3.5963109783498086,62,40.32258064516129,-0.9170974571932424,-1.3520737571659445,0.06429796348192958
